1.3784 1.8221 0.4437 0.048160
theta s11 s12 s13 s14 s21 s22 s23 s24 s31 s32 s33 s34 s41 s42 s43 s44
0.0 2.0711e+03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.0697e+03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.0697e+03 0.0000e+00 0.0000e+00 0.0000e+00 -0.0000e+00 2.0683e+03 
1.0 1.7437e+03 -1.2511e-01 0.0000e+00 0.0000e+00 -1.2511e-01 1.7423e+03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.7423e+03 -7.6078e-01 0.0000e+00 0.0000e+00 7.6078e-01 1.7410e+03 
2.0 1.2382e+03 -2.6987e-01 0.0000e+00 0.0000e+00 -2.6987e-01 1.2369e+03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.2369e+03 -2.4665e+00 0.0000e+00 0.0000e+00 2.4665e+00 1.2355e+03 
3.0 8.8727e+02 -3.2953e-01 0.0000e+00 0.0000e+00 -3.2953e-01 8.8594e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 8.8590e+02 -4.1004e+00 0.0000e+00 0.0000e+00 4.1004e+00 8.8458e+02 
4.0 6.6941e+02 -3.6348e-01 0.0000e+00 0.0000e+00 -3.6348e-01 6.6811e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 6.6804e+02 -5.2094e+00 0.0000e+00 0.0000e+00 5.2094e+00 6.6675e+02 
5.0 5.2878e+02 -4.0116e-01 0.0000e+00 0.0000e+00 -4.0116e-01 5.2750e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 5.2739e+02 -5.8917e+00 0.0000e+00 0.0000e+00 5.8917e+00 5.2615e+02 
6.0 4.3161e+02 -4.5055e-01 0.0000e+00 0.0000e+00 -4.5055e-01 4.3037e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 4.3022e+02 -6.2998e+00 0.0000e+00 0.0000e+00 6.2998e+00 4.2901e+02 
7.0 3.6065e+02 -5.1705e-01 0.0000e+00 0.0000e+00 -5.1705e-01 3.5944e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.5924e+02 -6.4959e+00 0.0000e+00 0.0000e+00 6.4959e+00 3.5808e+02 
8.0 3.0691e+02 -6.0231e-01 0.0000e+00 0.0000e+00 -6.0231e-01 3.0571e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.0548e+02 -6.5244e+00 0.0000e+00 0.0000e+00 6.5244e+00 3.0435e+02 
9.0 2.6513e+02 -7.0510e-01 0.0000e+00 0.0000e+00 -7.0510e-01 2.6396e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.6368e+02 -6.4255e+00 0.0000e+00 0.0000e+00 6.4255e+00 2.6259e+02 
10.0 2.3205e+02 -8.2314e-01 0.0000e+00 0.0000e+00 -8.2314e-01 2.3090e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.3058e+02 -6.2315e+00 0.0000e+00 0.0000e+00 6.2315e+00 2.2953e+02 
11.0 2.0549e+02 -9.5344e-01 0.0000e+00 0.0000e+00 -9.5344e-01 2.0437e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.0401e+02 -5.9748e+00 0.0000e+00 0.0000e+00 5.9748e+00 2.0300e+02 
12.0 1.8390e+02 -1.0929e+00 0.0000e+00 0.0000e+00 -1.0929e+00 1.8279e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.8240e+02 -5.6840e+00 0.0000e+00 0.0000e+00 5.6840e+00 1.8141e+02 
13.0 1.6612e+02 -1.2401e+00 0.0000e+00 0.0000e+00 -1.2401e+00 1.6503e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.6461e+02 -5.3777e+00 0.0000e+00 0.0000e+00 5.3777e+00 1.6366e+02 
14.0 1.5132e+02 -1.3892e+00 0.0000e+00 0.0000e+00 -1.3892e+00 1.5025e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.4980e+02 -5.0794e+00 0.0000e+00 0.0000e+00 5.0794e+00 1.4888e+02 
15.0 1.3887e+02 -1.5425e+00 0.0000e+00 0.0000e+00 -1.5425e+00 1.3782e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.3734e+02 -4.7883e+00 0.0000e+00 0.0000e+00 4.7883e+00 1.3644e+02 
16.0 1.2827e+02 -1.6978e+00 0.0000e+00 0.0000e+00 -1.6978e+00 1.2723e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.2673e+02 -4.5123e+00 0.0000e+00 0.0000e+00 4.5123e+00 1.2586e+02 
17.0 1.1915e+02 -1.8539e+00 0.0000e+00 0.0000e+00 -1.8539e+00 1.1812e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.1760e+02 -4.2556e+00 0.0000e+00 0.0000e+00 4.2556e+00 1.1676e+02 
18.0 1.1121e+02 -2.0100e+00 0.0000e+00 0.0000e+00 -2.0100e+00 1.1020e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.0965e+02 -4.0195e+00 0.0000e+00 0.0000e+00 4.0195e+00 1.0883e+02 
19.0 1.0422e+02 -2.1660e+00 0.0000e+00 0.0000e+00 -2.1660e+00 1.0322e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.0304e+02 -3.8032e+00 0.0000e+00 0.0000e+00 3.8032e+00 1.0226e+02 
20.0 9.8015e+01 -2.3217e+00 0.0000e+00 0.0000e+00 -2.3217e+00 9.7031e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 9.7176e+01 -3.6052e+00 0.0000e+00 0.0000e+00 3.6052e+00 9.6417e+01 
21.0 9.2455e+01 -2.4773e+00 0.0000e+00 0.0000e+00 -2.4773e+00 9.1482e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 9.1915e+01 -3.4245e+00 0.0000e+00 0.0000e+00 3.4245e+00 9.1179e+01 
22.0 8.7430e+01 -2.6328e+00 0.0000e+00 0.0000e+00 -2.6328e+00 8.6468e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 8.7159e+01 -3.2598e+00 0.0000e+00 0.0000e+00 3.2598e+00 8.6444e+01 
23.0 8.2853e+01 -2.7882e+00 0.0000e+00 0.0000e+00 -2.7882e+00 8.1903e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 8.2824e+01 -3.1093e+00 0.0000e+00 0.0000e+00 3.1093e+00 8.2129e+01 
24.0 7.8656e+01 -2.9430e+00 0.0000e+00 0.0000e+00 -2.9430e+00 7.7716e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 7.8845e+01 -2.9712e+00 0.0000e+00 0.0000e+00 2.9712e+00 7.8168e+01 
25.0 7.4786e+01 -3.0970e+00 0.0000e+00 0.0000e+00 -3.0970e+00 7.3857e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 7.5172e+01 -2.8436e+00 0.0000e+00 0.0000e+00 2.8436e+00 7.4513e+01 
26.0 7.1203e+01 -3.2495e+00 0.0000e+00 0.0000e+00 -3.2495e+00 7.0284e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 7.1767e+01 -2.7253e+00 0.0000e+00 0.0000e+00 2.7253e+00 7.1124e+01 
27.0 6.7872e+01 -3.4002e+00 0.0000e+00 0.0000e+00 -3.4002e+00 6.6963e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 6.8598e+01 -2.6153e+00 0.0000e+00 0.0000e+00 2.6153e+00 6.7970e+01 
28.0 6.4765e+01 -3.5487e+00 0.0000e+00 0.0000e+00 -3.5487e+00 6.3866e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 6.5639e+01 -2.5128e+00 0.0000e+00 0.0000e+00 2.5128e+00 6.5025e+01 
29.0 6.1858e+01 -3.6947e+00 0.0000e+00 0.0000e+00 -3.6947e+00 6.0968e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 6.2865e+01 -2.4170e+00 0.0000e+00 0.0000e+00 2.4170e+00 6.2265e+01 
30.0 5.9129e+01 -3.8378e+00 0.0000e+00 0.0000e+00 -3.8378e+00 5.8248e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 6.0257e+01 -2.3271e+00 0.0000e+00 0.0000e+00 2.3271e+00 5.9670e+01 
31.0 5.6559e+01 -3.9776e+00 0.0000e+00 0.0000e+00 -3.9776e+00 5.5687e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 5.7515e+01 -2.2427e+00 0.0000e+00 0.0000e+00 2.2427e+00 5.6946e+01 
32.0 5.4131e+01 -4.1138e+00 0.0000e+00 0.0000e+00 -4.1138e+00 5.3268e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 5.4924e+01 -2.1632e+00 0.0000e+00 0.0000e+00 2.1632e+00 5.4374e+01 
33.0 5.1832e+01 -4.2460e+00 0.0000e+00 0.0000e+00 -4.2460e+00 5.0977e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 5.2472e+01 -2.0884e+00 0.0000e+00 0.0000e+00 2.0884e+00 5.1939e+01 
34.0 4.9650e+01 -4.3737e+00 0.0000e+00 0.0000e+00 -4.3737e+00 4.8804e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 5.0145e+01 -2.0177e+00 0.0000e+00 0.0000e+00 2.0177e+00 4.9630e+01 
35.0 4.7577e+01 -4.4967e+00 0.0000e+00 0.0000e+00 -4.4967e+00 4.6738e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 4.7934e+01 -1.9505e+00 0.0000e+00 0.0000e+00 1.9505e+00 4.7436e+01 
36.0 4.5604e+01 -4.6148e+00 0.0000e+00 0.0000e+00 -4.6148e+00 4.4773e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 4.5829e+01 -1.8861e+00 0.0000e+00 0.0000e+00 1.8861e+00 4.5348e+01 
37.0 4.3725e+01 -4.7282e+00 0.0000e+00 0.0000e+00 -4.7282e+00 4.2902e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 4.3824e+01 -1.8241e+00 0.0000e+00 0.0000e+00 1.8241e+00 4.3359e+01 
38.0 4.1937e+01 -4.8369e+00 0.0000e+00 0.0000e+00 -4.8369e+00 4.1122e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 4.1913e+01 -1.7639e+00 0.0000e+00 0.0000e+00 1.7639e+00 4.1463e+01 
39.0 4.0234e+01 -4.9410e+00 0.0000e+00 0.0000e+00 -4.9410e+00 3.9426e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 4.0089e+01 -1.7053e+00 0.0000e+00 0.0000e+00 1.7053e+00 3.9656e+01 
40.0 3.8613e+01 -5.0405e+00 0.0000e+00 0.0000e+00 -5.0405e+00 3.7812e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.8349e+01 -1.6482e+00 0.0000e+00 0.0000e+00 1.6482e+00 3.7931e+01 
41.0 3.7069e+01 -5.1355e+00 0.0000e+00 0.0000e+00 -5.1355e+00 3.6275e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.6688e+01 -1.5927e+00 0.0000e+00 0.0000e+00 1.5927e+00 3.6285e+01 
42.0 3.5596e+01 -5.2257e+00 0.0000e+00 0.0000e+00 -5.2257e+00 3.4810e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.5100e+01 -1.5387e+00 0.0000e+00 0.0000e+00 1.5387e+00 3.4712e+01 
43.0 3.4192e+01 -5.3111e+00 0.0000e+00 0.0000e+00 -5.3111e+00 3.3413e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.3582e+01 -1.4862e+00 0.0000e+00 0.0000e+00 1.4862e+00 3.3209e+01 
44.0 3.2851e+01 -5.3916e+00 0.0000e+00 0.0000e+00 -5.3916e+00 3.2079e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.2130e+01 -1.4351e+00 0.0000e+00 0.0000e+00 1.4351e+00 3.1771e+01 
45.0 3.1570e+01 -5.4670e+00 0.0000e+00 0.0000e+00 -5.4670e+00 3.0804e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.0739e+01 -1.3852e+00 0.0000e+00 0.0000e+00 1.3852e+00 3.0394e+01 
46.0 3.0346e+01 -5.5373e+00 0.0000e+00 0.0000e+00 -5.5373e+00 2.9586e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.9406e+01 -1.3363e+00 0.0000e+00 0.0000e+00 1.3363e+00 2.9075e+01 
47.0 2.9174e+01 -5.6027e+00 0.0000e+00 0.0000e+00 -5.6027e+00 2.8421e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.8128e+01 -1.2884e+00 0.0000e+00 0.0000e+00 1.2884e+00 2.7811e+01 
48.0 2.8054e+01 -5.6630e+00 0.0000e+00 0.0000e+00 -5.6630e+00 2.7306e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.6903e+01 -1.2412e+00 0.0000e+00 0.0000e+00 1.2412e+00 2.6599e+01 
49.0 2.6981e+01 -5.7184e+00 0.0000e+00 0.0000e+00 -5.7184e+00 2.6240e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.5728e+01 -1.1947e+00 0.0000e+00 0.0000e+00 1.1947e+00 2.5437e+01 
50.0 2.5955e+01 -5.7689e+00 0.0000e+00 0.0000e+00 -5.7689e+00 2.5220e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.4600e+01 -1.1488e+00 0.0000e+00 0.0000e+00 1.1488e+00 2.4322e+01 
51.0 2.4974e+01 -5.8146e+00 0.0000e+00 0.0000e+00 -5.8146e+00 2.4243e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.3517e+01 -1.1036e+00 0.0000e+00 0.0000e+00 1.1036e+00 2.3252e+01 
52.0 2.4034e+01 -5.8556e+00 0.0000e+00 0.0000e+00 -5.8556e+00 2.3309e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.2478e+01 -1.0589e+00 0.0000e+00 0.0000e+00 1.0589e+00 2.2225e+01 
53.0 2.3135e+01 -5.8919e+00 0.0000e+00 0.0000e+00 -5.8919e+00 2.2416e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.1480e+01 -1.0147e+00 0.0000e+00 0.0000e+00 1.0147e+00 2.1240e+01 
54.0 2.2275e+01 -5.9237e+00 0.0000e+00 0.0000e+00 -5.9237e+00 2.1560e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.0522e+01 -9.7102e-01 0.0000e+00 0.0000e+00 9.7102e-01 2.0293e+01 
