1.4551 1.8024 0.3473 0.098923
theta s11 s12 s13 s14 s21 s22 s23 s24 s31 s32 s33 s34 s41 s42 s43 s44
0.0 1.0368e+03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.0360e+03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.0360e+03 0.0000e+00 0.0000e+00 0.0000e+00 -0.0000e+00 1.0352e+03 
1.0 9.0453e+02 -5.5767e-02 0.0000e+00 0.0000e+00 -5.5767e-02 9.0375e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 9.0375e+02 -4.4638e-01 0.0000e+00 0.0000e+00 4.4638e-01 9.0297e+02 
2.0 6.7748e+02 -1.2854e-01 0.0000e+00 0.0000e+00 -1.2854e-01 6.7671e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 6.7670e+02 -1.4840e+00 0.0000e+00 0.0000e+00 1.4840e+00 6.7594e+02 
3.0 4.9510e+02 -1.6095e-01 0.0000e+00 0.0000e+00 -1.6095e-01 4.9434e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 4.9432e+02 -2.5423e+00 0.0000e+00 0.0000e+00 2.5423e+00 4.9357e+02 
4.0 3.6902e+02 -1.7511e-01 0.0000e+00 0.0000e+00 -1.7511e-01 3.6828e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.6824e+02 -3.2936e+00 0.0000e+00 0.0000e+00 3.2936e+00 3.6751e+02 
5.0 2.8350e+02 -1.9055e-01 0.0000e+00 0.0000e+00 -1.9055e-01 2.8277e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.8270e+02 -3.7263e+00 0.0000e+00 0.0000e+00 3.7263e+00 2.8199e+02 
6.0 2.2426e+02 -2.1452e-01 0.0000e+00 0.0000e+00 -2.1452e-01 2.2355e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.2345e+02 -3.9283e+00 0.0000e+00 0.0000e+00 3.9283e+00 2.2277e+02 
7.0 1.8199e+02 -2.4963e-01 0.0000e+00 0.0000e+00 -2.4963e-01 1.8130e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.8117e+02 -3.9678e+00 0.0000e+00 0.0000e+00 3.9678e+00 1.8051e+02 
8.0 1.5101e+02 -2.9586e-01 0.0000e+00 0.0000e+00 -2.9586e-01 1.5034e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.5018e+02 -3.8943e+00 0.0000e+00 0.0000e+00 3.8943e+00 1.4954e+02 
9.0 1.2778e+02 -3.5141e-01 0.0000e+00 0.0000e+00 -3.5141e-01 1.2712e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.2693e+02 -3.7462e+00 0.0000e+00 0.0000e+00 3.7462e+00 1.2633e+02 
10.0 1.1003e+02 -4.1365e-01 0.0000e+00 0.0000e+00 -4.1365e-01 1.0939e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.0917e+02 -3.5521e+00 0.0000e+00 0.0000e+00 3.5521e+00 1.0858e+02 
11.0 9.6247e+01 -4.8001e-01 0.0000e+00 0.0000e+00 -4.8001e-01 9.5608e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 9.5373e+01 -3.3342e+00 0.0000e+00 0.0000e+00 3.3342e+00 9.4805e+01 
12.0 8.5367e+01 -5.4865e-01 0.0000e+00 0.0000e+00 -5.4865e-01 8.4737e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 8.4484e+01 -3.1098e+00 0.0000e+00 0.0000e+00 3.1098e+00 8.3934e+01 
13.0 7.6653e+01 -6.1909e-01 0.0000e+00 0.0000e+00 -6.1909e-01 7.6031e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 7.5761e+01 -2.8885e+00 0.0000e+00 0.0000e+00 2.8885e+00 7.5230e+01 
14.0 6.9565e+01 -6.8762e-01 0.0000e+00 0.0000e+00 -6.8762e-01 6.8951e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 6.8668e+01 -2.6831e+00 0.0000e+00 0.0000e+00 2.6831e+00 6.8153e+01 
