2.7803 2.7927 0.0124 0.070809
theta s11 s12 s13 s14 s21 s22 s23 s24 s31 s32 s33 s34 s41 s42 s43 s44
0.0 4.4266e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 4.4158e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 4.4158e+02 0.0000e+00 0.0000e+00 0.0000e+00 -0.0000e+00 4.4050e+02 
1.0 4.0974e+02 -9.4954e-03 0.0000e+00 0.0000e+00 -9.4954e-03 4.0866e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 4.0866e+02 -1.3579e-01 0.0000e+00 0.0000e+00 1.3579e-01 4.0759e+02 
2.0 3.5912e+02 -2.0730e-02 0.0000e+00 0.0000e+00 -2.0730e-02 3.5804e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.5804e+02 -4.8621e-01 0.0000e+00 0.0000e+00 4.8621e-01 3.5698e+02 
3.0 3.1493e+02 -2.6736e-02 0.0000e+00 0.0000e+00 -2.6736e-02 3.1386e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.1386e+02 -9.3147e-01 0.0000e+00 0.0000e+00 9.3147e-01 3.1282e+02 
4.0 2.7777e+02 -3.2020e-02 0.0000e+00 0.0000e+00 -3.2020e-02 2.7672e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.7670e+02 -1.3729e+00 0.0000e+00 0.0000e+00 1.3729e+00 2.7568e+02 
5.0 2.4675e+02 -4.1374e-02 0.0000e+00 0.0000e+00 -4.1374e-02 2.4572e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.4569e+02 -1.7602e+00 0.0000e+00 0.0000e+00 1.7602e+00 2.4470e+02 
6.0 2.2085e+02 -5.8554e-02 0.0000e+00 0.0000e+00 -5.8554e-02 2.1983e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.1978e+02 -2.0740e+00 0.0000e+00 0.0000e+00 2.0740e+00 2.1882e+02 
7.0 1.9913e+02 -8.5946e-02 0.0000e+00 0.0000e+00 -8.5946e-02 1.9812e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.9806e+02 -2.3115e+00 0.0000e+00 0.0000e+00 2.3115e+00 1.9713e+02 
8.0 1.8081e+02 -1.2413e-01 0.0000e+00 0.0000e+00 -1.2413e-01 1.7980e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.7972e+02 -2.4801e+00 0.0000e+00 0.0000e+00 2.4801e+00 1.7882e+02 
9.0 1.6523e+02 -1.7249e-01 0.0000e+00 0.0000e+00 -1.7249e-01 1.6423e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.6413e+02 -2.5918e+00 0.0000e+00 0.0000e+00 2.5918e+00 1.6326e+02 
10.0 1.5186e+02 -2.3015e-01 0.0000e+00 0.0000e+00 -2.3015e-01 1.5087e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.5075e+02 -2.6586e+00 0.0000e+00 0.0000e+00 2.6586e+00 1.4990e+02 
11.0 1.4027e+02 -2.9619e-01 0.0000e+00 0.0000e+00 -2.9619e-01 1.3929e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.3916e+02 -2.6912e+00 0.0000e+00 0.0000e+00 2.6912e+00 1.3834e+02 
12.0 1.3014e+02 -3.6967e-01 0.0000e+00 0.0000e+00 -3.6967e-01 1.2917e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.2901e+02 -2.6983e+00 0.0000e+00 0.0000e+00 2.6983e+00 1.2822e+02 
13.0 1.2121e+02 -4.4973e-01 0.0000e+00 0.0000e+00 -4.4973e-01 1.2024e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.2007e+02 -2.6862e+00 0.0000e+00 0.0000e+00 2.6862e+00 1.1930e+02 
14.0 1.1326e+02 -5.3449e-01 0.0000e+00 0.0000e+00 -5.3449e-01 1.1230e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.1211e+02 -2.6616e+00 0.0000e+00 0.0000e+00 2.6616e+00 1.1138e+02 
15.0 1.0615e+02 -6.2316e-01 0.0000e+00 0.0000e+00 -6.2316e-01 1.0520e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.0499e+02 -2.6273e+00 0.0000e+00 0.0000e+00 2.6273e+00 1.0428e+02 
