2.3323 2.9389 0.6066 0.010951
theta s11 s12 s13 s14 s21 s22 s23 s24 s31 s32 s33 s34 s41 s42 s43 s44
0.0 2.8940e+03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.8865e+03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.8865e+03 0.0000e+00 0.0000e+00 0.0000e+00 -0.0000e+00 2.8791e+03 
1.0 2.6706e+03 -1.0295e-01 0.0000e+00 0.0000e+00 -1.0295e-01 2.6632e+03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.6632e+03 -1.0603e+00 0.0000e+00 0.0000e+00 1.0603e+00 2.6558e+03 
2.0 2.3472e+03 -2.8416e-01 0.0000e+00 0.0000e+00 -2.8416e-01 2.3398e+03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.3398e+03 -3.8359e+00 0.0000e+00 0.0000e+00 3.8359e+00 2.3324e+03 
3.0 2.0706e+03 -4.7508e-01 0.0000e+00 0.0000e+00 -4.7508e-01 2.0633e+03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.0632e+03 -7.4651e+00 0.0000e+00 0.0000e+00 7.4651e+00 2.0559e+03 
4.0 1.8321e+03 -6.7924e-01 0.0000e+00 0.0000e+00 -6.7924e-01 1.8248e+03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.8247e+03 -1.1211e+01 0.0000e+00 0.0000e+00 1.1211e+01 1.8176e+03 
5.0 1.6253e+03 -9.1165e-01 0.0000e+00 0.0000e+00 -9.1165e-01 1.6181e+03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.6179e+03 -1.4651e+01 0.0000e+00 0.0000e+00 1.4651e+01 1.6109e+03 
6.0 1.4463e+03 -1.1894e+00 0.0000e+00 0.0000e+00 -1.1894e+00 1.4392e+03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.4389e+03 -1.7559e+01 0.0000e+00 0.0000e+00 1.7559e+01 1.4321e+03 
7.0 1.2919e+03 -1.5267e+00 0.0000e+00 0.0000e+00 -1.5267e+00 1.2850e+03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.2845e+03 -1.9829e+01 0.0000e+00 0.0000e+00 1.9829e+01 1.2779e+03 
8.0 1.1594e+03 -1.9302e+00 0.0000e+00 0.0000e+00 -1.9302e+00 1.1525e+03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.1519e+03 -2.1453e+01 0.0000e+00 0.0000e+00 2.1453e+01 1.1454e+03 
9.0 1.0458e+03 -2.3994e+00 0.0000e+00 0.0000e+00 -2.3994e+00 1.0390e+03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.0383e+03 -2.2492e+01 0.0000e+00 0.0000e+00 2.2492e+01 1.0319e+03 
