1.1766 1.2227 0.0462 0.029977
theta s11 s12 s13 s14 s21 s22 s23 s24 s31 s32 s33 s34 s41 s42 s43 s44
0.0 1.4785e+03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.4770e+03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.4770e+03 0.0000e+00 0.0000e+00 0.0000e+00 -0.0000e+00 1.4755e+03 
1.0 1.3822e+03 -1.0406e-02 0.0000e+00 0.0000e+00 -1.0406e-02 1.3808e+03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.3808e+03 -4.5257e-01 0.0000e+00 0.0000e+00 4.5257e-01 1.3793e+03 
2.0 1.2157e+03 4.9924e-03 0.0000e+00 0.0000e+00 4.9924e-03 1.2142e+03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.2142e+03 -1.6175e+00 0.0000e+00 0.0000e+00 1.6175e+00 1.2128e+03 
3.0 1.0520e+03 6.5635e-02 0.0000e+00 0.0000e+00 6.5635e-02 1.0506e+03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.0506e+03 -3.0792e+00 0.0000e+00 0.0000e+00 3.0792e+00 1.0492e+03 
4.0 9.0545e+02 1.4777e-01 0.0000e+00 0.0000e+00 1.4777e-01 9.0404e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 9.0400e+02 -4.4776e+00 0.0000e+00 0.0000e+00 4.4776e+00 9.0263e+02 
5.0 7.7995e+02 2.1897e-01 0.0000e+00 0.0000e+00 2.1897e-01 7.7857e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 7.7849e+02 -5.6173e+00 0.0000e+00 0.0000e+00 5.6173e+00 7.7718e+02 
6.0 6.7493e+02 2.5246e-01 0.0000e+00 0.0000e+00 2.5246e-01 6.7357e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 6.7346e+02 -6.4285e+00 0.0000e+00 0.0000e+00 6.4285e+00 6.7219e+02 
7.0 5.8796e+02 2.3260e-01 0.0000e+00 0.0000e+00 2.3260e-01 5.8664e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 5.8648e+02 -6.9158e+00 0.0000e+00 0.0000e+00 6.9158e+00 5.8527e+02 
8.0 5.1617e+02 1.5597e-01 0.0000e+00 0.0000e+00 1.5597e-01 5.1487e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 5.1466e+02 -7.1275e+00 0.0000e+00 0.0000e+00 7.1275e+00 5.1350e+02 
9.0 4.5676e+02 2.8258e-02 0.0000e+00 0.0000e+00 2.8258e-02 4.5548e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 4.5523e+02 -7.1293e+00 0.0000e+00 0.0000e+00 7.1293e+00 4.5411e+02 
10.0 4.0731e+02 -1.4007e-01 0.0000e+00 0.0000e+00 -1.4007e-01 4.0606e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 4.0577e+02 -6.9856e+00 0.0000e+00 0.0000e+00 6.9856e+00 4.0470e+02 
11.0 3.6587e+02 -3.3744e-01 0.0000e+00 0.0000e+00 -3.3744e-01 3.6465e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.6431e+02 -6.7507e+00 0.0000e+00 0.0000e+00 6.7507e+00 3.6328e+02 
12.0 3.3086e+02 -5.5367e-01 0.0000e+00 0.0000e+00 -5.5367e-01 3.2965e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.2928e+02 -6.4653e+00 0.0000e+00 0.0000e+00 6.4653e+00 3.2830e+02 
13.0 3.0102e+02 -7.8138e-01 0.0000e+00 0.0000e+00 -7.8138e-01 2.9983e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.9943e+02 -6.1561e+00 0.0000e+00 0.0000e+00 6.1561e+00 2.9848e+02 
14.0 2.7537e+02 -1.0147e+00 0.0000e+00 0.0000e+00 -1.0147e+00 2.7420e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.7376e+02 -5.8465e+00 0.0000e+00 0.0000e+00 5.8465e+00 2.7286e+02 
15.0 2.5310e+02 -1.2520e+00 0.0000e+00 0.0000e+00 -1.2520e+00 2.5195e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.5148e+02 -5.5413e+00 0.0000e+00 0.0000e+00 5.5413e+00 2.5062e+02 
16.0 2.3358e+02 -1.4923e+00 0.0000e+00 0.0000e+00 -1.4923e+00 2.3244e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.3195e+02 -5.2473e+00 0.0000e+00 0.0000e+00 5.2473e+00 2.3112e+02 
17.0 2.1630e+02 -1.7354e+00 0.0000e+00 0.0000e+00 -1.7354e+00 2.1518e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.1466e+02 -4.9666e+00 0.0000e+00 0.0000e+00 4.9666e+00 2.1387e+02 
18.0 2.0086e+02 -1.9812e+00 0.0000e+00 0.0000e+00 -1.9812e+00 1.9976e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.9922e+02 -4.6996e+00 0.0000e+00 0.0000e+00 4.6996e+00 1.9846e+02 
19.0 1.8700e+02 -2.2298e+00 0.0000e+00 0.0000e+00 -2.2298e+00 1.8591e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.8596e+02 -4.4450e+00 0.0000e+00 0.0000e+00 4.4450e+00 1.8523e+02 
20.0 1.7448e+02 -2.4810e+00 0.0000e+00 0.0000e+00 -2.4810e+00 1.7341e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.7397e+02 -4.2017e+00 0.0000e+00 0.0000e+00 4.2017e+00 1.7327e+02 
21.0 1.6315e+02 -2.7352e+00 0.0000e+00 0.0000e+00 -2.7352e+00 1.6209e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.6310e+02 -3.9684e+00 0.0000e+00 0.0000e+00 3.9684e+00 1.6243e+02 
22.0 1.5287e+02 -2.9922e+00 0.0000e+00 0.0000e+00 -2.9922e+00 1.5182e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.5322e+02 -3.7446e+00 0.0000e+00 0.0000e+00 3.7446e+00 1.5257e+02 
23.0 1.4350e+02 -3.2520e+00 0.0000e+00 0.0000e+00 -3.2520e+00 1.4246e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.4420e+02 -3.5296e+00 0.0000e+00 0.0000e+00 3.5296e+00 1.4358e+02 
24.0 1.3492e+02 -3.5138e+00 0.0000e+00 0.0000e+00 -3.5138e+00 1.3389e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.3594e+02 -3.3235e+00 0.0000e+00 0.0000e+00 3.3235e+00 1.3535e+02 
25.0 1.2705e+02 -3.7766e+00 0.0000e+00 0.0000e+00 -3.7766e+00 1.2603e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.2834e+02 -3.1266e+00 0.0000e+00 0.0000e+00 3.1266e+00 1.2777e+02 
26.0 1.1979e+02 -4.0390e+00 0.0000e+00 0.0000e+00 -4.0390e+00 1.1879e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.2133e+02 -2.9389e+00 0.0000e+00 0.0000e+00 2.9389e+00 1.2078e+02 
27.0 1.1309e+02 -4.2997e+00 0.0000e+00 0.0000e+00 -4.2997e+00 1.1210e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.1485e+02 -2.7603e+00 0.0000e+00 0.0000e+00 2.7603e+00 1.1431e+02 
28.0 1.0689e+02 -4.5577e+00 0.0000e+00 0.0000e+00 -4.5577e+00 1.0590e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.0883e+02 -2.5902e+00 0.0000e+00 0.0000e+00 2.5902e+00 1.0832e+02 
29.0 1.0114e+02 -4.8129e+00 0.0000e+00 0.0000e+00 -4.8129e+00 1.0016e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.0325e+02 -2.4278e+00 0.0000e+00 0.0000e+00 2.4278e+00 1.0275e+02 
30.0 9.5811e+01 -5.0649e+00 0.0000e+00 0.0000e+00 -5.0649e+00 9.4839e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 9.8062e+01 -2.2724e+00 0.0000e+00 0.0000e+00 2.2724e+00 9.7582e+01 
31.0 9.0861e+01 -5.3138e+00 0.0000e+00 0.0000e+00 -5.3138e+00 8.9896e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 9.2848e+01 -2.1240e+00 0.0000e+00 0.0000e+00 2.1240e+00 9.2390e+01 
32.0 8.6259e+01 -5.5593e+00 0.0000e+00 0.0000e+00 -5.5593e+00 8.5301e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 8.7992e+01 -1.9826e+00 0.0000e+00 0.0000e+00 1.9826e+00 8.7554e+01 
33.0 8.1974e+01 -5.8006e+00 0.0000e+00 0.0000e+00 -5.8006e+00 8.1023e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 8.3459e+01 -1.8483e+00 0.0000e+00 0.0000e+00 1.8483e+00 8.3043e+01 
34.0 7.7975e+01 -6.0370e+00 0.0000e+00 0.0000e+00 -6.0370e+00 7.7030e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 7.9222e+01 -1.7211e+00 0.0000e+00 0.0000e+00 1.7211e+00 7.8826e+01 
35.0 7.4233e+01 -6.2679e+00 0.0000e+00 0.0000e+00 -6.2679e+00 7.3294e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 7.5254e+01 -1.6007e+00 0.0000e+00 0.0000e+00 1.6007e+00 7.4877e+01 
36.0 7.0726e+01 -6.4927e+00 0.0000e+00 0.0000e+00 -6.4927e+00 6.9793e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 7.1529e+01 -1.4864e+00 0.0000e+00 0.0000e+00 1.4864e+00 7.1172e+01 
37.0 6.7433e+01 -6.7109e+00 0.0000e+00 0.0000e+00 -6.7109e+00 6.6505e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 6.8028e+01 -1.3777e+00 0.0000e+00 0.0000e+00 1.3777e+00 6.7689e+01 
38.0 6.4337e+01 -6.9226e+00 0.0000e+00 0.0000e+00 -6.9226e+00 6.3414e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 6.4733e+01 -1.2739e+00 0.0000e+00 0.0000e+00 1.2739e+00 6.4412e+01 
39.0 6.1424e+01 -7.1275e+00 0.0000e+00 0.0000e+00 -7.1275e+00 6.0506e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 6.1628e+01 -1.1744e+00 0.0000e+00 0.0000e+00 1.1744e+00 6.1325e+01 
40.0 5.8681e+01 -7.3257e+00 0.0000e+00 0.0000e+00 -7.3257e+00 5.7767e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 5.8698e+01 -1.0790e+00 0.0000e+00 0.0000e+00 1.0790e+00 5.8413e+01 
41.0 5.6097e+01 -7.5170e+00 0.0000e+00 0.0000e+00 -7.5170e+00 5.5187e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 5.5931e+01 -9.8750e-01 0.0000e+00 0.0000e+00 9.8750e-01 5.5663e+01 
