1.6973 2.1814 0.4841 0.031580
theta s11 s12 s13 s14 s21 s22 s23 s24 s31 s32 s33 s34 s41 s42 s43 s44
0.0 1.6343e+03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.6322e+03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.6322e+03 0.0000e+00 0.0000e+00 0.0000e+00 -0.0000e+00 1.6301e+03 
1.0 1.5052e+03 -5.4504e-02 0.0000e+00 0.0000e+00 -5.4504e-02 1.5031e+03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.5031e+03 -6.3289e-01 0.0000e+00 0.0000e+00 6.3289e-01 1.5010e+03 
2.0 1.2933e+03 -1.4033e-01 0.0000e+00 0.0000e+00 -1.4033e-01 1.2913e+03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.2913e+03 -2.2461e+00 0.0000e+00 0.0000e+00 2.2461e+00 1.2892e+03 
3.0 1.1002e+03 -2.0735e-01 0.0000e+00 0.0000e+00 -2.0735e-01 1.0981e+03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.0981e+03 -4.2459e+00 0.0000e+00 0.0000e+00 4.2459e+00 1.0961e+03 
4.0 9.3466e+02 -2.5924e-01 0.0000e+00 0.0000e+00 -2.5924e-01 9.3265e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 9.3259e+02 -6.1560e+00 0.0000e+00 0.0000e+00 6.1560e+00 9.3062e+02 
5.0 7.9566e+02 -3.1092e-01 0.0000e+00 0.0000e+00 -3.1092e-01 7.9370e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 7.9359e+02 -7.7423e+00 0.0000e+00 0.0000e+00 7.7423e+00 7.9168e+02 
6.0 6.8021e+02 -3.7790e-01 0.0000e+00 0.0000e+00 -3.7790e-01 6.7828e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 6.7812e+02 -8.9184e+00 0.0000e+00 0.0000e+00 8.9184e+00 6.7627e+02 
7.0 5.8500e+02 -4.7202e-01 0.0000e+00 0.0000e+00 -4.7202e-01 5.8311e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 5.8288e+02 -9.6758e+00 0.0000e+00 0.0000e+00 9.6758e+00 5.8109e+02 
8.0 5.0685e+02 -5.9846e-01 0.0000e+00 0.0000e+00 -5.9846e-01 5.0501e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 5.0470e+02 -1.0060e+01 0.0000e+00 0.0000e+00 1.0060e+01 5.0298e+02 
9.0 4.4283e+02 -7.5661e-01 0.0000e+00 0.0000e+00 -7.5661e-01 4.4103e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 4.4065e+02 -1.0141e+01 0.0000e+00 0.0000e+00 1.0141e+01 4.3899e+02 
10.0 3.9033e+02 -9.4219e-01 0.0000e+00 0.0000e+00 -9.4219e-01 3.8857e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.8812e+02 -9.9971e+00 0.0000e+00 0.0000e+00 9.9971e+00 3.8652e+02 
11.0 3.4715e+02 -1.1494e+00 0.0000e+00 0.0000e+00 -1.1494e+00 3.4543e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.4491e+02 -9.6995e+00 0.0000e+00 0.0000e+00 9.6995e+00 3.4337e+02 
