2.4801 2.9592 0.4792 0.056512
theta s11 s12 s13 s14 s21 s22 s23 s24 s31 s32 s33 s34 s41 s42 s43 s44
0.0 5.4186e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 5.4051e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 5.4051e+02 0.0000e+00 0.0000e+00 0.0000e+00 -0.0000e+00 5.3916e+02 
1.0 4.7311e+02 -3.4154e-02 0.0000e+00 0.0000e+00 -3.4154e-02 4.7177e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 4.7177e+02 -1.8759e-01 0.0000e+00 0.0000e+00 1.8759e-01 4.7042e+02 
2.0 3.6905e+02 -9.1592e-02 0.0000e+00 0.0000e+00 -9.1592e-02 3.6771e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.6770e+02 -6.2071e-01 0.0000e+00 0.0000e+00 6.2071e-01 3.6636e+02 
3.0 2.8966e+02 -1.4810e-01 0.0000e+00 0.0000e+00 -1.4810e-01 2.8832e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.8831e+02 -1.0539e+00 0.0000e+00 0.0000e+00 1.0539e+00 2.8698e+02 
4.0 2.3487e+02 -2.1148e-01 0.0000e+00 0.0000e+00 -2.1148e-01 2.3354e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.3352e+02 -1.3467e+00 0.0000e+00 0.0000e+00 1.3467e+00 2.3220e+02 
5.0 1.9791e+02 -2.8917e-01 0.0000e+00 0.0000e+00 -2.8917e-01 1.9659e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.9656e+02 -1.4976e+00 0.0000e+00 0.0000e+00 1.4976e+00 1.9525e+02 
6.0 1.7280e+02 -3.8403e-01 0.0000e+00 0.0000e+00 -3.8403e-01 1.7149e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.7145e+02 -1.5532e+00 0.0000e+00 0.0000e+00 1.5532e+00 1.7015e+02 
7.0 1.5537e+02 -4.9647e-01 0.0000e+00 0.0000e+00 -4.9647e-01 1.5406e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.5401e+02 -1.5540e+00 0.0000e+00 0.0000e+00 1.5540e+00 1.5273e+02 
8.0 1.4288e+02 -6.2519e-01 0.0000e+00 0.0000e+00 -6.2519e-01 1.4159e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.4153e+02 -1.5301e+00 0.0000e+00 0.0000e+00 1.5301e+00 1.4026e+02 
9.0 1.3360e+02 -7.6810e-01 0.0000e+00 0.0000e+00 -7.6810e-01 1.3231e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.3224e+02 -1.5015e+00 0.0000e+00 0.0000e+00 1.5015e+00 1.3099e+02 
