0.9699 1.0786 0.1088 0.068532
theta s11 s12 s13 s14 s21 s22 s23 s24 s31 s32 s33 s34 s41 s42 s43 s44
0.0 3.3619e+03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.3609e+03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.3609e+03 0.0000e+00 0.0000e+00 0.0000e+00 -0.0000e+00 3.3598e+03 
1.0 2.8414e+03 -2.0556e-01 0.0000e+00 0.0000e+00 -2.0556e-01 2.8404e+03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.8404e+03 -1.3244e+00 0.0000e+00 0.0000e+00 1.3244e+00 2.8393e+03 
2.0 1.9205e+03 -4.3952e-01 0.0000e+00 0.0000e+00 -4.3952e-01 1.9195e+03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.9194e+03 -4.1854e+00 0.0000e+00 0.0000e+00 4.1854e+00 1.9185e+03 
3.0 1.2126e+03 -4.8274e-01 0.0000e+00 0.0000e+00 -4.8274e-01 1.2117e+03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.2116e+03 -6.5975e+00 0.0000e+00 0.0000e+00 6.5975e+00 1.2106e+03 
4.0 7.7669e+02 -4.5917e-01 0.0000e+00 0.0000e+00 -4.5917e-01 7.7575e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 7.7560e+02 -7.6836e+00 0.0000e+00 0.0000e+00 7.6836e+00 7.7470e+02 
5.0 5.2183e+02 -4.4849e-01 0.0000e+00 0.0000e+00 -4.4849e-01 5.2092e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 5.2071e+02 -7.7630e+00 0.0000e+00 0.0000e+00 7.7630e+00 5.1985e+02 
6.0 3.7048e+02 -4.6781e-01 0.0000e+00 0.0000e+00 -4.6781e-01 3.6959e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.6932e+02 -7.3509e+00 0.0000e+00 0.0000e+00 7.3509e+00 3.6851e+02 
7.0 2.7684e+02 -5.1920e-01 0.0000e+00 0.0000e+00 -5.1920e-01 2.7598e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.7566e+02 -6.7232e+00 0.0000e+00 0.0000e+00 6.7232e+00 2.7489e+02 
8.0 2.1637e+02 -5.9434e-01 0.0000e+00 0.0000e+00 -5.9434e-01 2.1552e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.1517e+02 -6.0225e+00 0.0000e+00 0.0000e+00 6.0225e+00 2.1443e+02 
9.0 1.7576e+02 -6.7968e-01 0.0000e+00 0.0000e+00 -6.7968e-01 1.7492e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.7454e+02 -5.3403e+00 0.0000e+00 0.0000e+00 5.3403e+00 1.7384e+02 
10.0 1.4748e+02 -7.6436e-01 0.0000e+00 0.0000e+00 -7.6436e-01 1.4664e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.4624e+02 -4.7270e+00 0.0000e+00 0.0000e+00 4.7270e+00 1.4557e+02 
11.0 1.2703e+02 -8.4221e-01 0.0000e+00 0.0000e+00 -8.4221e-01 1.2619e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.2579e+02 -4.1985e+00 0.0000e+00 0.0000e+00 4.1985e+00 1.2514e+02 
12.0 1.1172e+02 -9.1315e-01 0.0000e+00 0.0000e+00 -9.1315e-01 1.1087e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.1046e+02 -3.7465e+00 0.0000e+00 0.0000e+00 3.7465e+00 1.0983e+02 
13.0 9.9897e+01 -9.7924e-01 0.0000e+00 0.0000e+00 -9.7924e-01 9.9053e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 9.8628e+01 -3.3545e+00 0.0000e+00 0.0000e+00 3.3545e+00 9.8029e+01 
14.0 9.0542e+01 -1.0390e+00 0.0000e+00 0.0000e+00 -1.0390e+00 8.9695e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 8.9264e+01 -3.0219e+00 0.0000e+00 0.0000e+00 3.0219e+00 8.8687e+01 
15.0 8.2965e+01 -1.0961e+00 0.0000e+00 0.0000e+00 -1.0961e+00 8.2115e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 8.1679e+01 -2.7317e+00 0.0000e+00 0.0000e+00 2.7317e+00 8.1124e+01 
16.0 7.6686e+01 -1.1503e+00 0.0000e+00 0.0000e+00 -1.1503e+00 7.5832e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 7.5392e+01 -2.4801e+00 0.0000e+00 0.0000e+00 2.4801e+00 7.4859e+01 
17.0 7.1380e+01 -1.2030e+00 0.0000e+00 0.0000e+00 -1.2030e+00 7.0522e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 7.0077e+01 -2.2630e+00 0.0000e+00 0.0000e+00 2.2630e+00 6.9565e+01 
18.0 6.6818e+01 -1.2552e+00 0.0000e+00 0.0000e+00 -1.2552e+00 6.5955e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 6.5506e+01 -2.0752e+00 0.0000e+00 0.0000e+00 2.0752e+00 6.5013e+01 
19.0 6.2837e+01 -1.3077e+00 0.0000e+00 0.0000e+00 -1.3077e+00 6.1969e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 6.1700e+01 -1.9118e+00 0.0000e+00 0.0000e+00 1.9118e+00 6.1234e+01 
20.0 5.9318e+01 -1.3603e+00 0.0000e+00 0.0000e+00 -1.3603e+00 5.8445e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 5.8336e+01 -1.7700e+00 0.0000e+00 0.0000e+00 1.7700e+00 5.7893e+01 
21.0 5.6169e+01 -1.4122e+00 0.0000e+00 0.0000e+00 -1.4122e+00 5.5291e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 5.5326e+01 -1.6479e+00 0.0000e+00 0.0000e+00 1.6479e+00 5.4904e+01 
22.0 5.3319e+01 -1.4632e+00 0.0000e+00 0.0000e+00 -1.4632e+00 5.2437e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 5.2602e+01 -1.5433e+00 0.0000e+00 0.0000e+00 1.5433e+00 5.2198e+01 
