1.8674 1.8800 0.0126 0.041274
theta s11 s12 s13 s14 s21 s22 s23 s24 s31 s32 s33 s34 s41 s42 s43 s44
0.0 1.4578e+03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.4558e+03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.4558e+03 0.0000e+00 0.0000e+00 0.0000e+00 -0.0000e+00 1.4537e+03 
1.0 1.3140e+03 -5.1855e-02 0.0000e+00 0.0000e+00 -5.1855e-02 1.3120e+03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.3120e+03 -5.4133e-01 0.0000e+00 0.0000e+00 5.4133e-01 1.3100e+03 
2.0 1.0647e+03 -1.1020e-01 0.0000e+00 0.0000e+00 -1.1020e-01 1.0627e+03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.0627e+03 -1.9133e+00 0.0000e+00 0.0000e+00 1.9133e+00 1.0607e+03 
3.0 8.4690e+02 -1.1367e-01 0.0000e+00 0.0000e+00 -1.1367e-01 8.4492e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 8.4489e+02 -3.5719e+00 0.0000e+00 0.0000e+00 3.5719e+00 8.4299e+02 
4.0 6.7810e+02 -8.6627e-02 0.0000e+00 0.0000e+00 -8.6627e-02 6.7616e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 6.7609e+02 -5.0596e+00 0.0000e+00 0.0000e+00 5.0596e+00 6.7427e+02 
5.0 5.5073e+02 -6.0830e-02 0.0000e+00 0.0000e+00 -6.0830e-02 5.4883e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 5.4870e+02 -6.1689e+00 0.0000e+00 0.0000e+00 6.1689e+00 5.4697e+02 
6.0 4.5474e+02 -5.4935e-02 0.0000e+00 0.0000e+00 -5.4935e-02 4.5288e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 4.5269e+02 -6.8754e+00 0.0000e+00 0.0000e+00 6.8754e+00 4.5103e+02 
7.0 3.8184e+02 -7.7657e-02 0.0000e+00 0.0000e+00 -7.7657e-02 3.8001e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.7975e+02 -7.2338e+00 0.0000e+00 0.0000e+00 7.2338e+00 3.7818e+02 
8.0 3.2585e+02 -1.3015e-01 0.0000e+00 0.0000e+00 -1.3015e-01 3.2404e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.2371e+02 -7.3229e+00 0.0000e+00 0.0000e+00 7.3229e+00 3.2221e+02 
9.0 2.8228e+02 -2.0831e-01 0.0000e+00 0.0000e+00 -2.0831e-01 2.8049e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.8010e+02 -7.2196e+00 0.0000e+00 0.0000e+00 7.2196e+00 2.7866e+02 
10.0 2.4793e+02 -3.0548e-01 0.0000e+00 0.0000e+00 -3.0548e-01 2.4615e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.4570e+02 -6.9888e+00 0.0000e+00 0.0000e+00 6.9888e+00 2.4433e+02 
11.0 2.2047e+02 -4.1436e-01 0.0000e+00 0.0000e+00 -4.1436e-01 2.1869e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.1820e+02 -6.6832e+00 0.0000e+00 0.0000e+00 6.6832e+00 2.1688e+02 
12.0 1.9820e+02 -5.3097e-01 0.0000e+00 0.0000e+00 -5.3097e-01 1.9642e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.9588e+02 -6.3414e+00 0.0000e+00 0.0000e+00 6.3414e+00 1.9463e+02 
13.0 1.7988e+02 -6.5373e-01 0.0000e+00 0.0000e+00 -6.5373e-01 1.7810e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.7752e+02 -5.9854e+00 0.0000e+00 0.0000e+00 5.9854e+00 1.7632e+02 
14.0 1.6458e+02 -7.7902e-01 0.0000e+00 0.0000e+00 -7.7902e-01 1.6280e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.6219e+02 -5.6335e+00 0.0000e+00 0.0000e+00 5.6335e+00 1.6104e+02 
15.0 1.5165e+02 -9.0761e-01 0.0000e+00 0.0000e+00 -9.0761e-01 1.4986e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.4922e+02 -5.2871e+00 0.0000e+00 0.0000e+00 5.2871e+00 1.4812e+02 
16.0 1.4057e+02 -1.0374e+00 0.0000e+00 0.0000e+00 -1.0374e+00 1.3878e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.3811e+02 -4.9529e+00 0.0000e+00 0.0000e+00 4.9529e+00 1.3706e+02 
17.0 1.3098e+02 -1.1676e+00 0.0000e+00 0.0000e+00 -1.1676e+00 1.2918e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.2849e+02 -4.6354e+00 0.0000e+00 0.0000e+00 4.6354e+00 1.2749e+02 
18.0 1.2260e+02 -1.2976e+00 0.0000e+00 0.0000e+00 -1.2976e+00 1.2079e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.2008e+02 -4.3378e+00 0.0000e+00 0.0000e+00 4.3378e+00 1.1912e+02 
19.0 1.1519e+02 -1.4270e+00 0.0000e+00 0.0000e+00 -1.4270e+00 1.1338e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.1304e+02 -4.0622e+00 0.0000e+00 0.0000e+00 4.0622e+00 1.1214e+02 
20.0 1.0859e+02 -1.5552e+00 0.0000e+00 0.0000e+00 -1.5552e+00 1.0677e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.0676e+02 -3.8090e+00 0.0000e+00 0.0000e+00 3.8090e+00 1.0591e+02 
21.0 1.0264e+02 -1.6818e+00 0.0000e+00 0.0000e+00 -1.6818e+00 1.0081e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.0110e+02 -3.5774e+00 0.0000e+00 0.0000e+00 3.5774e+00 1.0030e+02 
22.0 9.7240e+01 -1.8070e+00 0.0000e+00 0.0000e+00 -1.8070e+00 9.5411e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 9.5969e+01 -3.3653e+00 0.0000e+00 0.0000e+00 3.3653e+00 9.5207e+01 
23.0 9.2307e+01 -1.9314e+00 0.0000e+00 0.0000e+00 -1.9314e+00 9.0474e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 9.1274e+01 -3.1695e+00 0.0000e+00 0.0000e+00 3.1695e+00 9.0549e+01 
24.0 8.7775e+01 -2.0560e+00 0.0000e+00 0.0000e+00 -2.0560e+00 8.5940e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 8.6959e+01 -2.9870e+00 0.0000e+00 0.0000e+00 2.9870e+00 8.6268e+01 
25.0 8.3595e+01 -2.1816e+00 0.0000e+00 0.0000e+00 -2.1816e+00 8.1757e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 8.2976e+01 -2.8150e+00 0.0000e+00 0.0000e+00 2.8150e+00 8.2316e+01 
26.0 7.9725e+01 -2.3083e+00 0.0000e+00 0.0000e+00 -2.3083e+00 7.7886e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 7.9285e+01 -2.6521e+00 0.0000e+00 0.0000e+00 2.6521e+00 7.8655e+01 
27.0 7.6128e+01 -2.4360e+00 0.0000e+00 0.0000e+00 -2.4360e+00 7.4288e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 7.5853e+01 -2.4977e+00 0.0000e+00 0.0000e+00 2.4977e+00 7.5250e+01 
28.0 7.2772e+01 -2.5642e+00 0.0000e+00 0.0000e+00 -2.5642e+00 7.0932e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 7.2648e+01 -2.3517e+00 0.0000e+00 0.0000e+00 2.3517e+00 7.2070e+01 
29.0 6.9629e+01 -2.6924e+00 0.0000e+00 0.0000e+00 -2.6924e+00 6.7789e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 6.9643e+01 -2.2139e+00 0.0000e+00 0.0000e+00 2.2139e+00 6.9089e+01 
30.0 6.6675e+01 -2.8199e+00 0.0000e+00 0.0000e+00 -2.8199e+00 6.4835e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 6.6816e+01 -2.0842e+00 0.0000e+00 0.0000e+00 2.0842e+00 6.6284e+01 
31.0 6.3889e+01 -2.9461e+00 0.0000e+00 0.0000e+00 -2.9461e+00 6.2049e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 6.3851e+01 -1.9622e+00 0.0000e+00 0.0000e+00 1.9622e+00 6.3351e+01 
