1.8277 1.9531 0.1253 0.045873
theta s11 s12 s13 s14 s21 s22 s23 s24 s31 s32 s33 s34 s41 s42 s43 s44
0.0 1.1282e+03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.1267e+03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.1267e+03 0.0000e+00 0.0000e+00 0.0000e+00 -0.0000e+00 1.1252e+03 
1.0 9.9354e+02 -3.8179e-02 0.0000e+00 0.0000e+00 -3.8179e-02 9.9205e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 9.9205e+02 -3.8696e-01 0.0000e+00 0.0000e+00 3.8696e-01 9.9056e+02 
2.0 7.8350e+02 -6.8963e-02 0.0000e+00 0.0000e+00 -6.8963e-02 7.8202e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 7.8201e+02 -1.3172e+00 0.0000e+00 0.0000e+00 1.3172e+00 7.8055e+02 
3.0 6.2639e+02 -6.2225e-02 0.0000e+00 0.0000e+00 -6.2225e-02 6.2493e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 6.2491e+02 -2.3553e+00 0.0000e+00 0.0000e+00 2.3553e+00 6.2348e+02 
4.0 5.1732e+02 -4.7207e-02 0.0000e+00 0.0000e+00 -4.7207e-02 5.1588e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 5.1584e+02 -3.2442e+00 0.0000e+00 0.0000e+00 3.2442e+00 5.1444e+02 
5.0 4.3838e+02 -3.9511e-02 0.0000e+00 0.0000e+00 -3.9511e-02 4.3696e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 4.3690e+02 -3.9466e+00 0.0000e+00 0.0000e+00 3.9466e+00 4.3554e+02 
6.0 3.7807e+02 -4.5725e-02 0.0000e+00 0.0000e+00 -4.5725e-02 3.7668e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.7659e+02 -4.4829e+00 0.0000e+00 0.0000e+00 4.4829e+00 3.7528e+02 
7.0 3.3012e+02 -7.0760e-02 0.0000e+00 0.0000e+00 -7.0760e-02 3.2875e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.2862e+02 -4.8621e+00 0.0000e+00 0.0000e+00 4.8621e+00 3.2736e+02 
8.0 2.9105e+02 -1.1674e-01 0.0000e+00 0.0000e+00 -1.1674e-01 2.8970e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.8954e+02 -5.0956e+00 0.0000e+00 0.0000e+00 5.0956e+00 2.8832e+02 
9.0 2.5875e+02 -1.8333e-01 0.0000e+00 0.0000e+00 -1.8333e-01 2.5742e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.5721e+02 -5.2017e+00 0.0000e+00 0.0000e+00 5.2017e+00 2.5603e+02 
10.0 2.3177e+02 -2.6902e-01 0.0000e+00 0.0000e+00 -2.6902e-01 2.3046e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.3021e+02 -5.2025e+00 0.0000e+00 0.0000e+00 5.2025e+00 2.2908e+02 
11.0 2.0909e+02 -3.7142e-01 0.0000e+00 0.0000e+00 -3.7142e-01 2.0779e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.0750e+02 -5.1219e+00 0.0000e+00 0.0000e+00 5.1219e+00 2.0641e+02 
12.0 1.8989e+02 -4.8771e-01 0.0000e+00 0.0000e+00 -4.8771e-01 1.8860e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.8827e+02 -4.9828e+00 0.0000e+00 0.0000e+00 4.9828e+00 1.8722e+02 
13.0 1.7354e+02 -6.1561e-01 0.0000e+00 0.0000e+00 -6.1561e-01 1.7226e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.7190e+02 -4.8040e+00 0.0000e+00 0.0000e+00 4.8040e+00 1.7089e+02 
