1.7561 2.1887 0.4326 0.065008
theta s11 s12 s13 s14 s21 s22 s23 s24 s31 s32 s33 s34 s41 s42 s43 s44
0.0 9.1553e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 9.1443e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 9.1443e+02 0.0000e+00 0.0000e+00 0.0000e+00 -0.0000e+00 9.1333e+02 
1.0 8.7749e+02 -5.8744e-03 0.0000e+00 0.0000e+00 -5.8744e-03 8.7640e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 8.7640e+02 -3.6004e-01 0.0000e+00 0.0000e+00 3.6004e-01 8.7530e+02 
2.0 8.1098e+02 -7.5660e-03 0.0000e+00 0.0000e+00 -7.5660e-03 8.0990e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 8.0989e+02 -1.3432e+00 0.0000e+00 0.0000e+00 1.3432e+00 8.0882e+02 
3.0 7.3352e+02 6.8444e-03 0.0000e+00 0.0000e+00 6.8444e-03 7.3246e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 7.3244e+02 -2.7149e+00 0.0000e+00 0.0000e+00 2.7149e+00 7.3140e+02 
4.0 6.5073e+02 3.9236e-02 0.0000e+00 0.0000e+00 3.9236e-02 6.4970e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 6.4967e+02 -4.2115e+00 0.0000e+00 0.0000e+00 4.2115e+00 6.4867e+02 
5.0 5.6896e+02 8.2785e-02 0.0000e+00 0.0000e+00 8.2785e-02 5.6796e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 5.6790e+02 -5.6156e+00 0.0000e+00 0.0000e+00 5.6156e+00 5.6695e+02 
6.0 4.9255e+02 1.2616e-01 0.0000e+00 0.0000e+00 1.2616e-01 4.9158e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 4.9147e+02 -6.7809e+00 0.0000e+00 0.0000e+00 6.7809e+00 4.9057e+02 
7.0 4.2389e+02 1.5843e-01 0.0000e+00 0.0000e+00 1.5843e-01 4.2295e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 4.2279e+02 -7.6329e+00 0.0000e+00 0.0000e+00 7.6329e+00 4.2194e+02 
8.0 3.6391e+02 1.7234e-01 0.0000e+00 0.0000e+00 1.7234e-01 3.6301e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.6278e+02 -8.1578e+00 0.0000e+00 0.0000e+00 8.1578e+00 3.6198e+02 
9.0 3.1256e+02 1.6517e-01 0.0000e+00 0.0000e+00 1.6517e-01 3.1169e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.1140e+02 -8.3841e+00 0.0000e+00 0.0000e+00 8.3841e+00 3.1065e+02 
10.0 2.6922e+02 1.3794e-01 0.0000e+00 0.0000e+00 1.3794e-01 2.6838e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.6802e+02 -8.3630e+00 0.0000e+00 0.0000e+00 8.3630e+00 2.6732e+02 
11.0 2.3296e+02 9.3885e-02 0.0000e+00 0.0000e+00 9.3885e-02 2.3215e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.3172e+02 -8.1541e+00 0.0000e+00 0.0000e+00 8.1541e+00 2.3107e+02 
12.0 2.0277e+02 3.7142e-02 0.0000e+00 0.0000e+00 3.7142e-02 2.0198e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.0150e+02 -7.8140e+00 0.0000e+00 0.0000e+00 7.8140e+00 2.0089e+02 
13.0 1.7767e+02 -2.9417e-02 0.0000e+00 0.0000e+00 -2.9417e-02 1.7691e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.7638e+02 -7.3887e+00 0.0000e+00 0.0000e+00 7.3887e+00 1.7580e+02 
14.0 1.5680e+02 -9.8609e-02 0.0000e+00 0.0000e+00 -9.8609e-02 1.5606e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.5548e+02 -6.9248e+00 0.0000e+00 0.0000e+00 6.9248e+00 1.5494e+02 
15.0 1.3940e+02 -1.7123e-01 0.0000e+00 0.0000e+00 -1.7123e-01 1.3868e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.3806e+02 -6.4423e+00 0.0000e+00 0.0000e+00 6.4423e+00 1.3755e+02 
16.0 1.2482e+02 -2.4392e-01 0.0000e+00 0.0000e+00 -2.4392e-01 1.2411e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.2345e+02 -5.9638e+00 0.0000e+00 0.0000e+00 5.9638e+00 1.2298e+02 
17.0 1.1252e+02 -3.1518e-01 0.0000e+00 0.0000e+00 -3.1518e-01 1.1183e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.1114e+02 -5.5024e+00 0.0000e+00 0.0000e+00 5.5024e+00 1.1069e+02 
18.0 1.0207e+02 -3.8410e-01 0.0000e+00 0.0000e+00 -3.8410e-01 1.0139e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.0068e+02 -5.0661e+00 0.0000e+00 0.0000e+00 5.0661e+00 1.0026e+02 
19.0 9.3119e+01 -4.5039e-01 0.0000e+00 0.0000e+00 -4.5039e-01 9.2452e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 9.2051e+01 -4.6592e+00 0.0000e+00 0.0000e+00 4.6592e+00 9.1664e+01 
20.0 8.5389e+01 -5.1422e-01 0.0000e+00 0.0000e+00 -5.1422e-01 8.4734e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 8.4591e+01 -4.2832e+00 0.0000e+00 0.0000e+00 4.2832e+00 8.4232e+01 
21.0 7.8654e+01 -5.7609e-01 0.0000e+00 0.0000e+00 -5.7609e-01 7.8008e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 7.8085e+01 -3.9380e+00 0.0000e+00 0.0000e+00 3.9380e+00 7.7750e+01 
22.0 7.2730e+01 -6.3651e-01 0.0000e+00 0.0000e+00 -6.3651e-01 7.2095e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 7.2360e+01 -3.6221e+00 0.0000e+00 0.0000e+00 3.6221e+00 7.2046e+01 
23.0 6.7476e+01 -6.9592e-01 0.0000e+00 0.0000e+00 -6.9592e-01 6.6849e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 6.7276e+01 -3.3339e+00 0.0000e+00 0.0000e+00 3.3339e+00 6.6982e+01 
24.0 6.2778e+01 -7.5452e-01 0.0000e+00 0.0000e+00 -7.5452e-01 6.2160e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 6.2726e+01 -3.0709e+00 0.0000e+00 0.0000e+00 3.0709e+00 6.2450e+01 
25.0 5.8553e+01 -8.1231e-01 0.0000e+00 0.0000e+00 -8.1231e-01 5.7943e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 5.8631e+01 -2.8310e+00 0.0000e+00 0.0000e+00 2.8310e+00 5.8370e+01 
26.0 5.4736e+01 -8.6918e-01 0.0000e+00 0.0000e+00 -8.6918e-01 5.4132e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 5.4926e+01 -2.6121e+00 0.0000e+00 0.0000e+00 2.6121e+00 5.4679e+01 
27.0 5.1275e+01 -9.2499e-01 0.0000e+00 0.0000e+00 -9.2499e-01 5.0678e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 5.1563e+01 -2.4120e+00 0.0000e+00 0.0000e+00 2.4120e+00 5.1329e+01 
28.0 4.8126e+01 -9.7964e-01 0.0000e+00 0.0000e+00 -9.7964e-01 4.7535e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 4.8500e+01 -2.2289e+00 0.0000e+00 0.0000e+00 2.2289e+00 4.8278e+01 
29.0 4.5251e+01 -1.0330e+00 0.0000e+00 0.0000e+00 -1.0330e+00 4.4665e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 4.5701e+01 -2.0613e+00 0.0000e+00 0.0000e+00 2.0613e+00 4.5490e+01 
30.0 4.2615e+01 -1.0850e+00 0.0000e+00 0.0000e+00 -1.0850e+00 4.2035e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 4.3131e+01 -1.9077e+00 0.0000e+00 0.0000e+00 1.9077e+00 4.2930e+01 
31.0 4.0189e+01 -1.1354e+00 0.0000e+00 0.0000e+00 -1.1354e+00 3.9614e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 4.0550e+01 -1.7669e+00 0.0000e+00 0.0000e+00 1.7669e+00 4.0363e+01 
32.0 3.7946e+01 -1.1840e+00 0.0000e+00 0.0000e+00 -1.1840e+00 3.7375e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.8166e+01 -1.6379e+00 0.0000e+00 0.0000e+00 1.6379e+00 3.7992e+01 
33.0 3.5863e+01 -1.2305e+00 0.0000e+00 0.0000e+00 -1.2305e+00 3.5297e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.5956e+01 -1.5197e+00 0.0000e+00 0.0000e+00 1.5197e+00 3.5796e+01 
34.0 3.3923e+01 -1.2745e+00 0.0000e+00 0.0000e+00 -1.2745e+00 3.3360e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.3903e+01 -1.4112e+00 0.0000e+00 0.0000e+00 1.4112e+00 3.3755e+01 
