1.3100 1.4361 0.1261 0.187196
theta s11 s12 s13 s14 s21 s22 s23 s24 s31 s32 s33 s34 s41 s42 s43 s44
0.0 6.0312e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 6.0270e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 6.0270e+02 0.0000e+00 0.0000e+00 0.0000e+00 -0.0000e+00 6.0228e+02 
1.0 5.6578e+02 -8.2704e-03 0.0000e+00 0.0000e+00 -8.2704e-03 5.6536e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 5.6536e+02 -2.8466e-01 0.0000e+00 0.0000e+00 2.8466e-01 5.6495e+02 
2.0 4.8870e+02 -1.2404e-02 0.0000e+00 0.0000e+00 -1.2404e-02 4.8829e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 4.8829e+02 -1.0196e+00 0.0000e+00 0.0000e+00 1.0196e+00 4.8789e+02 
3.0 4.0547e+02 4.2492e-03 0.0000e+00 0.0000e+00 4.2492e-03 4.0508e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 4.0507e+02 -1.9405e+00 0.0000e+00 0.0000e+00 1.9405e+00 4.0469e+02 
4.0 3.2926e+02 3.6533e-02 0.0000e+00 0.0000e+00 3.6533e-02 3.2889e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.2886e+02 -2.8045e+00 0.0000e+00 0.0000e+00 2.8045e+00 3.2851e+02 
5.0 2.6455e+02 7.1798e-02 0.0000e+00 0.0000e+00 7.1798e-02 2.6419e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.6413e+02 -3.4728e+00 0.0000e+00 0.0000e+00 3.4728e+00 2.6382e+02 
6.0 2.1177e+02 9.9066e-02 0.0000e+00 0.0000e+00 9.9066e-02 2.1143e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.1134e+02 -3.8979e+00 0.0000e+00 0.0000e+00 3.8979e+00 2.1106e+02 
7.0 1.6974e+02 1.1219e-01 0.0000e+00 0.0000e+00 1.1219e-01 1.6942e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.6929e+02 -4.0885e+00 0.0000e+00 0.0000e+00 4.0885e+00 1.6904e+02 
8.0 1.3675e+02 1.1009e-01 0.0000e+00 0.0000e+00 1.1009e-01 1.3645e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.3628e+02 -4.0839e+00 0.0000e+00 0.0000e+00 4.0839e+00 1.3605e+02 
9.0 1.1109e+02 9.5143e-02 0.0000e+00 0.0000e+00 9.5143e-02 1.1080e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.1060e+02 -3.9346e+00 0.0000e+00 0.0000e+00 3.9346e+00 1.1039e+02 
10.0 9.1210e+01 7.1335e-02 0.0000e+00 0.0000e+00 7.1335e-02 9.0919e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 9.0689e+01 -3.6900e+00 0.0000e+00 0.0000e+00 3.6900e+00 9.0506e+01 
11.0 7.5814e+01 4.2408e-02 0.0000e+00 0.0000e+00 4.2408e-02 7.5525e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 7.5272e+01 -3.3918e+00 0.0000e+00 0.0000e+00 3.3918e+00 7.5107e+01 
