1.2562 1.3227 0.0665 0.075336
theta s11 s12 s13 s14 s21 s22 s23 s24 s31 s32 s33 s34 s41 s42 s43 s44
0.0 2.0042e+03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.0032e+03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.0032e+03 0.0000e+00 0.0000e+00 0.0000e+00 -0.0000e+00 2.0022e+03 
1.0 1.6779e+03 -1.1906e-01 0.0000e+00 0.0000e+00 -1.1906e-01 1.6769e+03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.6769e+03 -7.0328e-01 0.0000e+00 0.0000e+00 7.0328e-01 1.6759e+03 
2.0 1.1289e+03 -2.3960e-01 0.0000e+00 0.0000e+00 -2.3960e-01 1.1280e+03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.1280e+03 -2.2550e+00 0.0000e+00 0.0000e+00 2.2550e+00 1.1270e+03 
3.0 7.2983e+02 -2.4786e-01 0.0000e+00 0.0000e+00 -2.4786e-01 7.2887e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 7.2883e+02 -3.6378e+00 0.0000e+00 0.0000e+00 3.6378e+00 7.2791e+02 
4.0 4.9132e+02 -2.2877e-01 0.0000e+00 0.0000e+00 -2.2877e-01 4.9039e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 4.9031e+02 -4.3674e+00 0.0000e+00 0.0000e+00 4.3674e+00 4.8942e+02 
5.0 3.5169e+02 -2.2306e-01 0.0000e+00 0.0000e+00 -2.2306e-01 3.5077e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.5065e+02 -4.5814e+00 0.0000e+00 0.0000e+00 4.5814e+00 3.4980e+02 
6.0 2.6654e+02 -2.3280e-01 0.0000e+00 0.0000e+00 -2.3280e-01 2.6565e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.6549e+02 -4.5441e+00 0.0000e+00 0.0000e+00 4.5441e+00 2.6468e+02 
7.0 2.1147e+02 -2.5843e-01 0.0000e+00 0.0000e+00 -2.5843e-01 2.1059e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.1040e+02 -4.3938e+00 0.0000e+00 0.0000e+00 4.3938e+00 2.0963e+02 
8.0 1.7382e+02 -2.9978e-01 0.0000e+00 0.0000e+00 -2.9978e-01 1.7295e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.7273e+02 -4.1829e+00 0.0000e+00 0.0000e+00 4.1829e+00 1.7199e+02 
9.0 1.4687e+02 -3.5369e-01 0.0000e+00 0.0000e+00 -3.5369e-01 1.4601e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.4577e+02 -3.9354e+00 0.0000e+00 0.0000e+00 3.9354e+00 1.4506e+02 
10.0 1.2690e+02 -4.1531e-01 0.0000e+00 0.0000e+00 -4.1531e-01 1.2604e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.2578e+02 -3.6697e+00 0.0000e+00 0.0000e+00 3.6697e+00 1.2509e+02 
11.0 1.1167e+02 -4.7981e-01 0.0000e+00 0.0000e+00 -4.7981e-01 1.1081e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.1053e+02 -3.4043e+00 0.0000e+00 0.0000e+00 3.4043e+00 1.0987e+02 
12.0 9.9735e+01 -5.4500e-01 0.0000e+00 0.0000e+00 -5.4500e-01 9.8875e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 9.8573e+01 -3.1513e+00 0.0000e+00 0.0000e+00 3.1513e+00 9.7943e+01 
13.0 9.0172e+01 -6.1033e-01 0.0000e+00 0.0000e+00 -6.1033e-01 8.9310e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 8.8994e+01 -2.9144e+00 0.0000e+00 0.0000e+00 2.9144e+00 8.8388e+01 
14.0 8.2350e+01 -6.7432e-01 0.0000e+00 0.0000e+00 -6.7432e-01 8.1486e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 8.1157e+01 -2.6982e+00 0.0000e+00 0.0000e+00 2.6982e+00 8.0574e+01 
15.0 7.5840e+01 -7.3851e-01 0.0000e+00 0.0000e+00 -7.3851e-01 7.4973e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 7.4632e+01 -2.4967e+00 0.0000e+00 0.0000e+00 2.4967e+00 7.4072e+01 
16.0 7.0336e+01 -8.0294e-01 0.0000e+00 0.0000e+00 -8.0294e-01 6.9465e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 6.9112e+01 -2.3093e+00 0.0000e+00 0.0000e+00 2.3093e+00 6.8574e+01 
17.0 6.5621e+01 -8.6805e-01 0.0000e+00 0.0000e+00 -8.6805e-01 6.4745e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 6.4382e+01 -2.1367e+00 0.0000e+00 0.0000e+00 2.1367e+00 6.3866e+01 
18.0 6.1532e+01 -9.3431e-01 0.0000e+00 0.0000e+00 -9.3431e-01 6.0652e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 6.0279e+01 -1.9789e+00 0.0000e+00 0.0000e+00 1.9789e+00 5.9784e+01 
19.0 5.7945e+01 -1.0019e+00 0.0000e+00 0.0000e+00 -1.0019e+00 5.7061e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 5.6882e+01 -1.8352e+00 0.0000e+00 0.0000e+00 1.8352e+00 5.6412e+01 
20.0 5.4765e+01 -1.0703e+00 0.0000e+00 0.0000e+00 -1.0703e+00 5.3876e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 5.3870e+01 -1.7053e+00 0.0000e+00 0.0000e+00 1.7053e+00 5.3422e+01 
21.0 5.1915e+01 -1.1390e+00 0.0000e+00 0.0000e+00 -1.1390e+00 5.1021e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 5.1170e+01 -1.5888e+00 0.0000e+00 0.0000e+00 1.5888e+00 5.0743e+01 
22.0 4.9336e+01 -1.2078e+00 0.0000e+00 0.0000e+00 -1.2078e+00 4.8439e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 4.8728e+01 -1.4847e+00 0.0000e+00 0.0000e+00 1.4847e+00 4.8319e+01 
23.0 4.6983e+01 -1.2765e+00 0.0000e+00 0.0000e+00 -1.2765e+00 4.6083e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 4.6499e+01 -1.3914e+00 0.0000e+00 0.0000e+00 1.3914e+00 4.6107e+01 
24.0 4.4822e+01 -1.3453e+00 0.0000e+00 0.0000e+00 -1.3453e+00 4.3919e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 4.4451e+01 -1.3065e+00 0.0000e+00 0.0000e+00 1.3065e+00 4.4074e+01 
25.0 4.2825e+01 -1.4144e+00 0.0000e+00 0.0000e+00 -1.4144e+00 4.1919e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 4.2557e+01 -1.2283e+00 0.0000e+00 0.0000e+00 1.2283e+00 4.2195e+01 
26.0 4.0970e+01 -1.4838e+00 0.0000e+00 0.0000e+00 -1.4838e+00 4.0062e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 4.0797e+01 -1.1555e+00 0.0000e+00 0.0000e+00 1.1555e+00 4.0448e+01 
27.0 3.9238e+01 -1.5533e+00 0.0000e+00 0.0000e+00 -1.5533e+00 3.8328e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.9152e+01 -1.0875e+00 0.0000e+00 0.0000e+00 1.0875e+00 3.8816e+01 
28.0 3.7615e+01 -1.6230e+00 0.0000e+00 0.0000e+00 -1.6230e+00 3.6703e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.7609e+01 -1.0240e+00 0.0000e+00 0.0000e+00 1.0240e+00 3.7285e+01 
29.0 3.6086e+01 -1.6928e+00 0.0000e+00 0.0000e+00 -1.6928e+00 3.5174e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.6155e+01 -9.6452e-01 0.0000e+00 0.0000e+00 9.6452e-01 3.5841e+01 
30.0 3.4643e+01 -1.7624e+00 0.0000e+00 0.0000e+00 -1.7624e+00 3.3729e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.4780e+01 -9.0903e-01 0.0000e+00 0.0000e+00 9.0903e-01 3.4477e+01 
31.0 3.3275e+01 -1.8315e+00 0.0000e+00 0.0000e+00 -1.8315e+00 3.2360e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.3320e+01 -8.5737e-01 0.0000e+00 0.0000e+00 8.5737e-01 3.3032e+01 
32.0 3.1976e+01 -1.8996e+00 0.0000e+00 0.0000e+00 -1.8996e+00 3.1060e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.1933e+01 -8.0913e-01 0.0000e+00 0.0000e+00 8.0913e-01 3.1660e+01 
33.0 3.0738e+01 -1.9666e+00 0.0000e+00 0.0000e+00 -1.9666e+00 2.9822e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.0613e+01 -7.6380e-01 0.0000e+00 0.0000e+00 7.6380e-01 3.0354e+01 
34.0 2.9557e+01 -2.0324e+00 0.0000e+00 0.0000e+00 -2.0324e+00 2.8642e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.9353e+01 -7.2100e-01 0.0000e+00 0.0000e+00 7.2100e-01 2.9109e+01 
35.0 2.8431e+01 -2.0968e+00 0.0000e+00 0.0000e+00 -2.0968e+00 2.7515e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.8150e+01 -6.8053e-01 0.0000e+00 0.0000e+00 6.8053e-01 2.7919e+01 
36.0 2.7354e+01 -2.1599e+00 0.0000e+00 0.0000e+00 -2.1599e+00 2.6440e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.7000e+01 -6.4212e-01 0.0000e+00 0.0000e+00 6.4212e-01 2.6782e+01 
37.0 2.6326e+01 -2.2217e+00 0.0000e+00 0.0000e+00 -2.2217e+00 2.5413e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.5899e+01 -6.0541e-01 0.0000e+00 0.0000e+00 6.0541e-01 2.5694e+01 
38.0 2.5344e+01 -2.2821e+00 0.0000e+00 0.0000e+00 -2.2821e+00 2.4431e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.4845e+01 -5.7013e-01 0.0000e+00 0.0000e+00 5.7013e-01 2.4652e+01 
39.0 2.4404e+01 -2.3412e+00 0.0000e+00 0.0000e+00 -2.3412e+00 2.3494e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.3835e+01 -5.3609e-01 0.0000e+00 0.0000e+00 5.3609e-01 2.3654e+01 
40.0 2.3506e+01 -2.3988e+00 0.0000e+00 0.0000e+00 -2.3988e+00 2.2597e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.2867e+01 -5.0320e-01 0.0000e+00 0.0000e+00 5.0320e-01 2.2697e+01 
41.0 2.2646e+01 -2.4548e+00 0.0000e+00 0.0000e+00 -2.4548e+00 2.1740e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.1939e+01 -4.7146e-01 0.0000e+00 0.0000e+00 4.7146e-01 2.1780e+01 
42.0 2.1822e+01 -2.5090e+00 0.0000e+00 0.0000e+00 -2.5090e+00 2.0919e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.1048e+01 -4.4079e-01 0.0000e+00 0.0000e+00 4.4079e-01 2.0900e+01 
43.0 2.1032e+01 -2.5611e+00 0.0000e+00 0.0000e+00 -2.5611e+00 2.0132e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.0192e+01 -4.1106e-01 0.0000e+00 0.0000e+00 4.1106e-01 2.0055e+01 
44.0 2.0275e+01 -2.6112e+00 0.0000e+00 0.0000e+00 -2.6112e+00 1.9378e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.9370e+01 -3.8210e-01 0.0000e+00 0.0000e+00 3.8210e-01 1.9242e+01 
45.0 1.9548e+01 -2.6592e+00 0.0000e+00 0.0000e+00 -2.6592e+00 1.8654e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.8579e+01 -3.5373e-01 0.0000e+00 0.0000e+00 3.5373e-01 1.8461e+01 
46.0 1.8850e+01 -2.7051e+00 0.0000e+00 0.0000e+00 -2.7051e+00 1.7960e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.7819e+01 -3.2582e-01 0.0000e+00 0.0000e+00 3.2582e-01 1.7710e+01 
47.0 1.8181e+01 -2.7488e+00 0.0000e+00 0.0000e+00 -2.7488e+00 1.7294e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.7088e+01 -2.9833e-01 0.0000e+00 0.0000e+00 2.9833e-01 1.6988e+01 
48.0 1.7539e+01 -2.7904e+00 0.0000e+00 0.0000e+00 -2.7904e+00 1.6656e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.6384e+01 -2.7120e-01 0.0000e+00 0.0000e+00 2.7120e-01 1.6294e+01 
49.0 1.6922e+01 -2.8297e+00 0.0000e+00 0.0000e+00 -2.8297e+00 1.6043e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.5707e+01 -2.4438e-01 0.0000e+00 0.0000e+00 2.4438e-01 1.5625e+01 
50.0 1.6331e+01 -2.8669e+00 0.0000e+00 0.0000e+00 -2.8669e+00 1.5456e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.5056e+01 -2.1783e-01 0.0000e+00 0.0000e+00 2.1783e-01 1.4983e+01 
51.0 1.5764e+01 -2.9018e+00 0.0000e+00 0.0000e+00 -2.9018e+00 1.4893e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.4429e+01 -1.9150e-01 0.0000e+00 0.0000e+00 1.9150e-01 1.4364e+01 
52.0 1.5220e+01 -2.9345e+00 0.0000e+00 0.0000e+00 -2.9345e+00 1.4353e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.3826e+01 -1.6532e-01 0.0000e+00 0.0000e+00 1.6532e-01 1.3769e+01 
53.0 1.4698e+01 -2.9651e+00 0.0000e+00 0.0000e+00 -2.9651e+00 1.3835e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.3246e+01 -1.3928e-01 0.0000e+00 0.0000e+00 1.3928e-01 1.3196e+01 
54.0 1.4198e+01 -2.9935e+00 0.0000e+00 0.0000e+00 -2.9935e+00 1.3340e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.2687e+01 -1.1344e-01 0.0000e+00 0.0000e+00 1.1344e-01 1.2645e+01 
55.0 1.3719e+01 -3.0197e+00 0.0000e+00 0.0000e+00 -3.0197e+00 1.2865e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.2149e+01 -8.7850e-02 0.0000e+00 0.0000e+00 8.7850e-02 1.2115e+01 
56.0 1.3259e+01 -3.0438e+00 0.0000e+00 0.0000e+00 -3.0438e+00 1.2410e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.1632e+01 -6.2525e-02 0.0000e+00 0.0000e+00 6.2525e-02 1.1605e+01 
57.0 1.2819e+01 -3.0656e+00 0.0000e+00 0.0000e+00 -3.0656e+00 1.1974e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.1133e+01 -3.7478e-02 0.0000e+00 0.0000e+00 3.7478e-02 1.1114e+01 
58.0 1.2397e+01 -3.0853e+00 0.0000e+00 0.0000e+00 -3.0853e+00 1.1556e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.0653e+01 -1.2759e-02 0.0000e+00 0.0000e+00 1.2759e-02 1.0641e+01 
59.0 1.1992e+01 -3.1028e+00 0.0000e+00 0.0000e+00 -3.1028e+00 1.1155e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.0191e+01 1.1604e-02 0.0000e+00 0.0000e+00 -1.1604e-02 1.0186e+01 
60.0 1.1604e+01 -3.1181e+00 0.0000e+00 0.0000e+00 -3.1181e+00 1.0772e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 9.7452e+00 3.5601e-02 0.0000e+00 0.0000e+00 -3.5601e-02 9.7477e+00 
61.0 1.1232e+01 -3.1314e+00 0.0000e+00 0.0000e+00 -3.1314e+00 1.0404e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 9.3158e+00 5.9210e-02 0.0000e+00 0.0000e+00 -5.9210e-02 9.3253e+00 
62.0 1.0875e+01 -3.1425e+00 0.0000e+00 0.0000e+00 -3.1425e+00 1.0051e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 8.9018e+00 8.2396e-02 0.0000e+00 0.0000e+00 -8.2396e-02 8.9184e+00 
