1.6221 2.0558 0.4338 0.102506
theta s11 s12 s13 s14 s21 s22 s23 s24 s31 s32 s33 s34 s41 s42 s43 s44
0.0 5.5053e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 5.4977e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 5.4977e+02 0.0000e+00 0.0000e+00 0.0000e+00 -0.0000e+00 5.4901e+02 
1.0 5.2669e+02 -5.8348e-03 0.0000e+00 0.0000e+00 -5.8348e-03 5.2593e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 5.2593e+02 -2.3831e-01 0.0000e+00 0.0000e+00 2.3831e-01 5.2517e+02 
2.0 4.8455e+02 -1.2802e-02 0.0000e+00 0.0000e+00 -1.2802e-02 4.8380e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 4.8380e+02 -8.8807e-01 0.0000e+00 0.0000e+00 8.8807e-01 4.8305e+02 
3.0 4.3586e+02 -1.2599e-02 0.0000e+00 0.0000e+00 -1.2599e-02 4.3512e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 4.3511e+02 -1.7915e+00 0.0000e+00 0.0000e+00 1.7915e+00 4.3439e+02 
4.0 3.8439e+02 -3.7312e-03 0.0000e+00 0.0000e+00 -3.7312e-03 3.8367e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.8365e+02 -2.7723e+00 0.0000e+00 0.0000e+00 2.7723e+00 3.8295e+02 
5.0 3.3407e+02 9.7434e-03 0.0000e+00 0.0000e+00 9.7434e-03 3.3337e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.3332e+02 -3.6862e+00 0.0000e+00 0.0000e+00 3.6862e+00 3.3266e+02 
6.0 2.8745e+02 2.1076e-02 0.0000e+00 0.0000e+00 2.1076e-02 2.8678e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.8670e+02 -4.4374e+00 0.0000e+00 0.0000e+00 4.4374e+00 2.8607e+02 
7.0 2.4592e+02 2.3908e-02 0.0000e+00 0.0000e+00 2.3908e-02 2.4527e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.4516e+02 -4.9780e+00 0.0000e+00 0.0000e+00 4.9780e+00 2.4456e+02 
8.0 2.0995e+02 1.4302e-02 0.0000e+00 0.0000e+00 1.4302e-02 2.0932e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.0917e+02 -5.3005e+00 0.0000e+00 0.0000e+00 5.3005e+00 2.0860e+02 
9.0 1.7944e+02 -8.8199e-03 0.0000e+00 0.0000e+00 -8.8199e-03 1.7883e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.7862e+02 -5.4251e+00 0.0000e+00 0.0000e+00 5.4251e+00 1.7809e+02 
10.0 1.5392e+02 -4.4217e-02 0.0000e+00 0.0000e+00 -4.4217e-02 1.5333e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.5308e+02 -5.3876e+00 0.0000e+00 0.0000e+00 5.3876e+00 1.5258e+02 
11.0 1.3280e+02 -8.9343e-02 0.0000e+00 0.0000e+00 -8.9343e-02 1.3223e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.3193e+02 -5.2286e+00 0.0000e+00 0.0000e+00 5.2286e+00 1.3146e+02 
12.0 1.1540e+02 -1.4120e-01 0.0000e+00 0.0000e+00 -1.4120e-01 1.1484e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.1451e+02 -4.9865e+00 0.0000e+00 0.0000e+00 4.9865e+00 1.1407e+02 
13.0 1.0110e+02 -1.9797e-01 0.0000e+00 0.0000e+00 -1.9797e-01 1.0056e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.0019e+02 -4.6922e+00 0.0000e+00 0.0000e+00 4.6922e+00 9.9776e+01 
14.0 8.9331e+01 -2.5422e-01 0.0000e+00 0.0000e+00 -2.5422e-01 8.8801e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 8.8402e+01 -4.3774e+00 0.0000e+00 0.0000e+00 4.3774e+00 8.8009e+01 
