0.7601 1.1191 0.3590 0.025814
theta s11 s12 s13 s14 s21 s22 s23 s24 s31 s32 s33 s34 s41 s42 s43 s44
0.0 9.9405e+03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 9.9385e+03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 9.9385e+03 0.0000e+00 0.0000e+00 0.0000e+00 -0.0000e+00 9.9365e+03 
1.0 8.5068e+03 -6.8515e-01 0.0000e+00 0.0000e+00 -6.8515e-01 8.5048e+03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 8.5048e+03 -4.2328e+00 0.0000e+00 0.0000e+00 4.2328e+00 8.5029e+03 
2.0 5.9142e+03 -1.6219e+00 0.0000e+00 0.0000e+00 -1.6219e+00 5.9123e+03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 5.9122e+03 -1.3325e+01 0.0000e+00 0.0000e+00 1.3325e+01 5.9103e+03 
3.0 3.8369e+03 -2.0179e+00 0.0000e+00 0.0000e+00 -2.0179e+00 3.8350e+03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.8348e+03 -2.0912e+01 0.0000e+00 0.0000e+00 2.0912e+01 3.8330e+03 
4.0 2.4966e+03 -2.1039e+00 0.0000e+00 0.0000e+00 -2.1039e+00 2.4948e+03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.4944e+03 -2.4237e+01 0.0000e+00 0.0000e+00 2.4237e+01 2.4927e+03 
5.0 1.6815e+03 -2.1325e+00 0.0000e+00 0.0000e+00 -2.1325e+00 1.6798e+03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.6793e+03 -2.4288e+01 0.0000e+00 0.0000e+00 2.4288e+01 1.6776e+03 
6.0 1.1835e+03 -2.2047e+00 0.0000e+00 0.0000e+00 -2.2047e+00 1.1819e+03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.1812e+03 -2.2678e+01 0.0000e+00 0.0000e+00 2.2678e+01 1.1796e+03 
7.0 8.7120e+02 -2.3502e+00 0.0000e+00 0.0000e+00 -2.3502e+00 8.6963e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 8.6880e+02 -2.0376e+01 0.0000e+00 0.0000e+00 2.0376e+01 8.6729e+02 
8.0 6.6909e+02 -2.5611e+00 0.0000e+00 0.0000e+00 -2.5611e+00 6.6757e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 6.6667e+02 -1.7928e+01 0.0000e+00 0.0000e+00 1.7928e+01 6.6522e+02 
9.0 5.3379e+02 -2.8144e+00 0.0000e+00 0.0000e+00 -2.8144e+00 5.3231e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 5.3136e+02 -1.5616e+01 0.0000e+00 0.0000e+00 1.5616e+01 5.2997e+02 
10.0 4.4002e+02 -3.0879e+00 0.0000e+00 0.0000e+00 -3.0879e+00 4.3858e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 4.3759e+02 -1.3555e+01 0.0000e+00 0.0000e+00 1.3555e+01 4.3625e+02 
11.0 3.7290e+02 -3.3638e+00 0.0000e+00 0.0000e+00 -3.3638e+00 3.7149e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.7048e+02 -1.1783e+01 0.0000e+00 0.0000e+00 1.1783e+01 3.6919e+02 
12.0 3.2327e+02 -3.6309e+00 0.0000e+00 0.0000e+00 -3.6309e+00 3.2188e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.2086e+02 -1.0294e+01 0.0000e+00 0.0000e+00 1.0294e+01 3.1961e+02 
13.0 2.8543e+02 -3.8891e+00 0.0000e+00 0.0000e+00 -3.8891e+00 2.8407e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.8304e+02 -9.0593e+00 0.0000e+00 0.0000e+00 9.0593e+00 2.8183e+02 
14.0 2.5590e+02 -4.1279e+00 0.0000e+00 0.0000e+00 -4.1279e+00 2.5456e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.5353e+02 -8.0705e+00 0.0000e+00 0.0000e+00 8.0705e+00 2.5236e+02 
15.0 2.3221e+02 -4.3605e+00 0.0000e+00 0.0000e+00 -4.3605e+00 2.3089e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.2986e+02 -7.2600e+00 0.0000e+00 0.0000e+00 7.2600e+00 2.2872e+02 
16.0 2.1278e+02 -4.5854e+00 0.0000e+00 0.0000e+00 -4.5854e+00 2.1148e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.1044e+02 -6.5984e+00 0.0000e+00 0.0000e+00 6.5984e+00 2.0934e+02 
17.0 1.9650e+02 -4.8034e+00 0.0000e+00 0.0000e+00 -4.8034e+00 1.9522e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.9417e+02 -6.0586e+00 0.0000e+00 0.0000e+00 6.0586e+00 1.9311e+02 
18.0 1.8255e+02 -5.0157e+00 0.0000e+00 0.0000e+00 -5.0157e+00 1.8129e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.8024e+02 -5.6157e+00 0.0000e+00 0.0000e+00 5.6157e+00 1.7920e+02 
19.0 1.7039e+02 -5.2247e+00 0.0000e+00 0.0000e+00 -5.2247e+00 1.6914e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.6867e+02 -5.2433e+00 0.0000e+00 0.0000e+00 5.2433e+00 1.6767e+02 
20.0 1.5965e+02 -5.4333e+00 0.0000e+00 0.0000e+00 -5.4333e+00 1.5842e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.5846e+02 -4.9222e+00 0.0000e+00 0.0000e+00 4.9222e+00 1.5749e+02 
21.0 1.5010e+02 -5.6439e+00 0.0000e+00 0.0000e+00 -5.6439e+00 1.4888e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.4937e+02 -4.6422e+00 0.0000e+00 0.0000e+00 4.6422e+00 1.4842e+02 
22.0 1.4154e+02 -5.8583e+00 0.0000e+00 0.0000e+00 -5.8583e+00 1.4034e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.4122e+02 -4.3974e+00 0.0000e+00 0.0000e+00 4.3974e+00 1.4030e+02 
23.0 1.3381e+02 -6.0767e+00 0.0000e+00 0.0000e+00 -6.0767e+00 1.3262e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.3386e+02 -4.1823e+00 0.0000e+00 0.0000e+00 4.1823e+00 1.3297e+02 
24.0 1.2677e+02 -6.2979e+00 0.0000e+00 0.0000e+00 -6.2979e+00 1.2560e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.2715e+02 -3.9914e+00 0.0000e+00 0.0000e+00 3.9914e+00 1.2628e+02 
25.0 1.2031e+02 -6.5194e+00 0.0000e+00 0.0000e+00 -6.5194e+00 1.1915e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.2099e+02 -3.8205e+00 0.0000e+00 0.0000e+00 3.8205e+00 1.2014e+02 
26.0 1.1434e+02 -6.7383e+00 0.0000e+00 0.0000e+00 -6.7383e+00 1.1319e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.1529e+02 -3.6667e+00 0.0000e+00 0.0000e+00 3.6667e+00 1.1445e+02 
27.0 1.0879e+02 -6.9528e+00 0.0000e+00 0.0000e+00 -6.9528e+00 1.0765e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.0997e+02 -3.5275e+00 0.0000e+00 0.0000e+00 3.5275e+00 1.0916e+02 
28.0 1.0361e+02 -7.1621e+00 0.0000e+00 0.0000e+00 -7.1621e+00 1.0248e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.0501e+02 -3.3999e+00 0.0000e+00 0.0000e+00 3.3999e+00 1.0421e+02 
29.0 9.8751e+01 -7.3668e+00 0.0000e+00 0.0000e+00 -7.3668e+00 9.7632e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.0035e+02 -3.2809e+00 0.0000e+00 0.0000e+00 3.2809e+00 9.9571e+01 
30.0 9.4196e+01 -7.5673e+00 0.0000e+00 0.0000e+00 -7.5673e+00 9.3089e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 9.5973e+01 -3.1686e+00 0.0000e+00 0.0000e+00 3.1686e+00 9.5210e+01 
31.0 8.9918e+01 -7.7636e+00 0.0000e+00 0.0000e+00 -7.7636e+00 8.8822e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 9.1432e+01 -3.0624e+00 0.0000e+00 0.0000e+00 3.0624e+00 9.0692e+01 
32.0 8.5890e+01 -7.9550e+00 0.0000e+00 0.0000e+00 -7.9550e+00 8.4806e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 8.7152e+01 -2.9629e+00 0.0000e+00 0.0000e+00 2.9629e+00 8.6434e+01 
33.0 8.2089e+01 -8.1403e+00 0.0000e+00 0.0000e+00 -8.1403e+00 8.1016e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 8.3108e+01 -2.8702e+00 0.0000e+00 0.0000e+00 2.8702e+00 8.2411e+01 
34.0 7.8491e+01 -8.3182e+00 0.0000e+00 0.0000e+00 -8.3182e+00 7.7429e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 7.9277e+01 -2.7837e+00 0.0000e+00 0.0000e+00 2.7837e+00 7.8602e+01 
35.0 7.5077e+01 -8.4880e+00 0.0000e+00 0.0000e+00 -8.4880e+00 7.4026e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 7.5640e+01 -2.7023e+00 0.0000e+00 0.0000e+00 2.7023e+00 7.4986e+01 
36.0 7.1833e+01 -8.6494e+00 0.0000e+00 0.0000e+00 -8.6494e+00 7.0792e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 7.2181e+01 -2.6248e+00 0.0000e+00 0.0000e+00 2.6248e+00 7.1548e+01 
37.0 6.8747e+01 -8.8024e+00 0.0000e+00 0.0000e+00 -8.8024e+00 6.7717e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 6.8888e+01 -2.5496e+00 0.0000e+00 0.0000e+00 2.5496e+00 6.8275e+01 
38.0 6.5811e+01 -8.9477e+00 0.0000e+00 0.0000e+00 -8.9477e+00 6.4792e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 6.5752e+01 -2.4754e+00 0.0000e+00 0.0000e+00 2.4754e+00 6.5158e+01 
39.0 6.3020e+01 -9.0857e+00 0.0000e+00 0.0000e+00 -9.0857e+00 6.2010e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 6.2764e+01 -2.4016e+00 0.0000e+00 0.0000e+00 2.4016e+00 6.2191e+01 
40.0 6.0366e+01 -9.2168e+00 0.0000e+00 0.0000e+00 -9.2168e+00 5.9367e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 5.9920e+01 -2.3285e+00 0.0000e+00 0.0000e+00 2.3285e+00 5.9365e+01 
41.0 5.7844e+01 -9.3411e+00 0.0000e+00 0.0000e+00 -9.3411e+00 5.6855e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 5.7210e+01 -2.2565e+00 0.0000e+00 0.0000e+00 2.2565e+00 5.6674e+01 
42.0 5.5445e+01 -9.4584e+00 0.0000e+00 0.0000e+00 -9.4584e+00 5.4466e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 5.4626e+01 -2.1861e+00 0.0000e+00 0.0000e+00 2.1861e+00 5.4109e+01 
43.0 5.3161e+01 -9.5682e+00 0.0000e+00 0.0000e+00 -9.5682e+00 5.2192e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 5.2161e+01 -2.1174e+00 0.0000e+00 0.0000e+00 2.1174e+00 5.1662e+01 
44.0 5.0985e+01 -9.6702e+00 0.0000e+00 0.0000e+00 -9.6702e+00 5.0026e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 4.9806e+01 -2.0504e+00 0.0000e+00 0.0000e+00 2.0504e+00 4.9324e+01 
45.0 4.8910e+01 -9.7642e+00 0.0000e+00 0.0000e+00 -9.7642e+00 4.7960e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 4.7555e+01 -1.9846e+00 0.0000e+00 0.0000e+00 1.9846e+00 4.7091e+01 
