1.1871 1.3074 0.1202 0.121415
theta s11 s12 s13 s14 s21 s22 s23 s24 s31 s32 s33 s34 s41 s42 s43 s44
0.0 1.1764e+03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.1757e+03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.1757e+03 0.0000e+00 0.0000e+00 0.0000e+00 -0.0000e+00 1.1750e+03 
1.0 1.0634e+03 -4.4800e-02 0.0000e+00 0.0000e+00 -4.4800e-02 1.0627e+03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.0627e+03 -5.4183e-01 0.0000e+00 0.0000e+00 5.4183e-01 1.0621e+03 
2.0 8.4393e+02 -1.0185e-01 0.0000e+00 0.0000e+00 -1.0185e-01 8.4328e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 8.4327e+02 -1.8594e+00 0.0000e+00 0.0000e+00 1.8594e+00 8.4263e+02 
3.0 6.3719e+02 -1.1032e-01 0.0000e+00 0.0000e+00 -1.1032e-01 6.3656e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 6.3653e+02 -3.3253e+00 0.0000e+00 0.0000e+00 3.3253e+00 6.3592e+02 
4.0 4.7508e+02 -8.5675e-02 0.0000e+00 0.0000e+00 -8.5675e-02 4.7448e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 4.7441e+02 -4.4816e+00 0.0000e+00 0.0000e+00 4.4816e+00 4.7385e+02 
5.0 3.5619e+02 -5.7529e-02 0.0000e+00 0.0000e+00 -5.7529e-02 3.5561e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.5550e+02 -5.1879e+00 0.0000e+00 0.0000e+00 5.1879e+00 3.5498e+02 
6.0 2.7097e+02 -4.5840e-02 0.0000e+00 0.0000e+00 -4.5840e-02 2.7042e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.7026e+02 -5.4817e+00 0.0000e+00 0.0000e+00 5.4817e+00 2.6977e+02 
7.0 2.1009e+02 -5.8540e-02 0.0000e+00 0.0000e+00 -5.8540e-02 2.0956e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.0935e+02 -5.4543e+00 0.0000e+00 0.0000e+00 5.4543e+00 2.0891e+02 
8.0 1.6637e+02 -9.2989e-02 0.0000e+00 0.0000e+00 -9.2989e-02 1.6586e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.6560e+02 -5.2093e+00 0.0000e+00 0.0000e+00 5.2093e+00 1.6519e+02 
9.0 1.3468e+02 -1.4090e-01 0.0000e+00 0.0000e+00 -1.4090e-01 1.3418e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.3389e+02 -4.8422e+00 0.0000e+00 0.0000e+00 4.8422e+00 1.3351e+02 
