1.1582 1.4340 0.2758 0.110741
theta s11 s12 s13 s14 s21 s22 s23 s24 s31 s32 s33 s34 s41 s42 s43 s44
0.0 1.3830e+03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.3822e+03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.3822e+03 0.0000e+00 0.0000e+00 0.0000e+00 -0.0000e+00 1.3815e+03 
1.0 1.2081e+03 -6.8674e-02 0.0000e+00 0.0000e+00 -6.8674e-02 1.2074e+03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.2074e+03 -6.0854e-01 0.0000e+00 0.0000e+00 6.0854e-01 1.2067e+03 
2.0 8.9887e+02 -1.4933e-01 0.0000e+00 0.0000e+00 -1.4933e-01 8.9817e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 8.9816e+02 -2.0156e+00 0.0000e+00 0.0000e+00 2.0156e+00 8.9746e+02 
3.0 6.4869e+02 -1.6672e-01 0.0000e+00 0.0000e+00 -1.6672e-01 6.4800e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 6.4797e+02 -3.4366e+00 0.0000e+00 0.0000e+00 3.4366e+00 6.4730e+02 
4.0 4.7792e+02 -1.5591e-01 0.0000e+00 0.0000e+00 -1.5591e-01 4.7725e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 4.7719e+02 -4.4369e+00 0.0000e+00 0.0000e+00 4.4369e+00 4.7655e+02 
5.0 3.6369e+02 -1.4459e-01 0.0000e+00 0.0000e+00 -1.4459e-01 3.6306e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.6295e+02 -5.0220e+00 0.0000e+00 0.0000e+00 5.0220e+00 3.6235e+02 
6.0 2.8504e+02 -1.4141e-01 0.0000e+00 0.0000e+00 -1.4141e-01 2.8442e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.8428e+02 -5.3207e+00 0.0000e+00 0.0000e+00 5.3207e+00 2.8371e+02 
7.0 2.2869e+02 -1.4933e-01 0.0000e+00 0.0000e+00 -1.4933e-01 2.2810e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.2792e+02 -5.4191e+00 0.0000e+00 0.0000e+00 5.4191e+00 2.2738e+02 
8.0 1.8694e+02 -1.6851e-01 0.0000e+00 0.0000e+00 -1.6851e-01 1.8637e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.8615e+02 -5.3706e+00 0.0000e+00 0.0000e+00 5.3706e+00 1.8565e+02 
9.0 1.5521e+02 -1.9719e-01 0.0000e+00 0.0000e+00 -1.9719e-01 1.5465e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.5439e+02 -5.2148e+00 0.0000e+00 0.0000e+00 5.2148e+00 1.5392e+02 
10.0 1.3063e+02 -2.3269e-01 0.0000e+00 0.0000e+00 -2.3269e-01 1.3009e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.2979e+02 -4.9821e+00 0.0000e+00 0.0000e+00 4.9821e+00 1.2935e+02 
11.0 1.1133e+02 -2.7210e-01 0.0000e+00 0.0000e+00 -2.7210e-01 1.1080e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.1047e+02 -4.6993e+00 0.0000e+00 0.0000e+00 4.6993e+00 1.1005e+02 
12.0 9.5995e+01 -3.1335e-01 0.0000e+00 0.0000e+00 -3.1335e-01 9.5476e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 9.5118e+01 -4.3896e+00 0.0000e+00 0.0000e+00 4.3896e+00 9.4728e+01 
13.0 8.3694e+01 -3.5563e-01 0.0000e+00 0.0000e+00 -3.5563e-01 8.3183e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 8.2799e+01 -4.0690e+00 0.0000e+00 0.0000e+00 4.0690e+00 8.2432e+01 
14.0 7.3721e+01 -3.9451e-01 0.0000e+00 0.0000e+00 -3.9451e-01 7.3217e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 7.2811e+01 -3.7567e+00 0.0000e+00 0.0000e+00 3.7567e+00 7.2466e+01 
15.0 6.5556e+01 -4.3256e-01 0.0000e+00 0.0000e+00 -4.3256e-01 6.5059e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 6.4635e+01 -3.4521e+00 0.0000e+00 0.0000e+00 3.4521e+00 6.4309e+01 
16.0 5.8803e+01 -4.6864e-01 0.0000e+00 0.0000e+00 -4.6864e-01 5.8312e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 5.7872e+01 -3.1618e+00 0.0000e+00 0.0000e+00 3.1618e+00 5.7564e+01 
17.0 5.3167e+01 -5.0282e-01 0.0000e+00 0.0000e+00 -5.0282e-01 5.2680e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 5.2227e+01 -2.8894e+00 0.0000e+00 0.0000e+00 2.8894e+00 5.1937e+01 
