2.1233 2.1364 0.0131 0.080247
theta s11 s12 s13 s14 s21 s22 s23 s24 s31 s32 s33 s34 s41 s42 s43 s44
0.0 5.8653e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 5.8543e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 5.8543e+02 0.0000e+00 0.0000e+00 0.0000e+00 -0.0000e+00 5.8433e+02 
1.0 5.4396e+02 -1.3018e-02 0.0000e+00 0.0000e+00 -1.3018e-02 5.4286e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 5.4286e+02 -2.3136e-01 0.0000e+00 0.0000e+00 2.3136e-01 5.4177e+02 
2.0 4.6970e+02 -2.6683e-02 0.0000e+00 0.0000e+00 -2.6683e-02 4.6862e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 4.6861e+02 -8.4082e-01 0.0000e+00 0.0000e+00 8.4082e-01 4.6755e+02 
3.0 3.9803e+02 -2.4359e-02 0.0000e+00 0.0000e+00 -2.4359e-02 3.9696e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.9695e+02 -1.6343e+00 0.0000e+00 0.0000e+00 1.6343e+00 3.9592e+02 
4.0 3.3494e+02 -1.1082e-02 0.0000e+00 0.0000e+00 -1.1082e-02 3.3389e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.3386e+02 -2.4212e+00 0.0000e+00 0.0000e+00 2.4212e+00 3.3288e+02 
5.0 2.8167e+02 2.5712e-03 0.0000e+00 0.0000e+00 2.5712e-03 2.8064e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.8059e+02 -3.0795e+00 0.0000e+00 0.0000e+00 3.0795e+00 2.7965e+02 
6.0 2.3776e+02 7.4001e-03 0.0000e+00 0.0000e+00 7.4001e-03 2.3676e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.3667e+02 -3.5563e+00 0.0000e+00 0.0000e+00 3.5563e+00 2.3578e+02 
7.0 2.0211e+02 -2.4215e-03 0.0000e+00 0.0000e+00 -2.4215e-03 2.0112e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.0099e+02 -3.8464e+00 0.0000e+00 0.0000e+00 3.8464e+00 2.0015e+02 
8.0 1.7339e+02 -2.8783e-02 0.0000e+00 0.0000e+00 -2.8783e-02 1.7242e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.7225e+02 -3.9719e+00 0.0000e+00 0.0000e+00 3.9719e+00 1.7144e+02 
9.0 1.5034e+02 -7.0399e-02 0.0000e+00 0.0000e+00 -7.0399e-02 1.4937e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.4917e+02 -3.9675e+00 0.0000e+00 0.0000e+00 3.9675e+00 1.4840e+02 
10.0 1.3182e+02 -1.2420e-01 0.0000e+00 0.0000e+00 -1.2420e-01 1.3086e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.3062e+02 -3.8697e+00 0.0000e+00 0.0000e+00 3.8697e+00 1.2988e+02 
11.0 1.1688e+02 -1.8641e-01 0.0000e+00 0.0000e+00 -1.8641e-01 1.1592e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.1565e+02 -3.7114e+00 0.0000e+00 0.0000e+00 3.7114e+00 1.1494e+02 
12.0 1.0474e+02 -2.5455e-01 0.0000e+00 0.0000e+00 -2.5455e-01 1.0378e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.0348e+02 -3.5189e+00 0.0000e+00 0.0000e+00 3.5189e+00 1.0281e+02 
13.0 9.4780e+01 -3.2702e-01 0.0000e+00 0.0000e+00 -3.2702e-01 9.3825e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 9.3508e+01 -3.3095e+00 0.0000e+00 0.0000e+00 3.3095e+00 9.2863e+01 
14.0 8.6520e+01 -4.0112e-01 0.0000e+00 0.0000e+00 -4.0112e-01 8.5564e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 8.5228e+01 -3.0980e+00 0.0000e+00 0.0000e+00 3.0980e+00 8.4611e+01 
15.0 7.9592e+01 -4.7672e-01 0.0000e+00 0.0000e+00 -4.7672e-01 7.8635e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 7.8283e+01 -2.8889e+00 0.0000e+00 0.0000e+00 2.8889e+00 7.7692e+01 
16.0 7.3707e+01 -5.5236e-01 0.0000e+00 0.0000e+00 -5.5236e-01 7.2748e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 7.2382e+01 -2.6882e+00 0.0000e+00 0.0000e+00 2.6882e+00 7.1817e+01 
17.0 6.8651e+01 -6.2732e-01 0.0000e+00 0.0000e+00 -6.2732e-01 6.7691e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 6.7311e+01 -2.4993e+00 0.0000e+00 0.0000e+00 2.4993e+00 6.6772e+01 
18.0 6.4260e+01 -7.0114e-01 0.0000e+00 0.0000e+00 -7.0114e-01 6.3297e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 6.2907e+01 -2.3245e+00 0.0000e+00 0.0000e+00 2.3245e+00 6.2392e+01 
19.0 6.0403e+01 -7.7350e-01 0.0000e+00 0.0000e+00 -7.7350e-01 5.9437e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 5.9236e+01 -2.1648e+00 0.0000e+00 0.0000e+00 2.1648e+00 5.8751e+01 
20.0 5.6975e+01 -8.4414e-01 0.0000e+00 0.0000e+00 -8.4414e-01 5.6007e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 5.5975e+01 -2.0204e+00 0.0000e+00 0.0000e+00 2.0204e+00 5.5516e+01 
21.0 5.3897e+01 -9.1300e-01 0.0000e+00 0.0000e+00 -9.1300e-01 5.2927e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 5.3045e+01 -1.8904e+00 0.0000e+00 0.0000e+00 1.8904e+00 5.2610e+01 
22.0 5.1106e+01 -9.8027e-01 0.0000e+00 0.0000e+00 -9.8027e-01 5.0135e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 5.0388e+01 -1.7733e+00 0.0000e+00 0.0000e+00 1.7733e+00 4.9975e+01 
23.0 4.8556e+01 -1.0464e+00 0.0000e+00 0.0000e+00 -1.0464e+00 4.7584e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 4.7960e+01 -1.6672e+00 0.0000e+00 0.0000e+00 1.6672e+00 4.7566e+01 
24.0 4.6212e+01 -1.1118e+00 0.0000e+00 0.0000e+00 -1.1118e+00 4.5240e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 4.5726e+01 -1.5700e+00 0.0000e+00 0.0000e+00 1.5700e+00 4.5351e+01 
