1.7768 2.3080 0.5313 0.066914
theta s11 s12 s13 s14 s21 s22 s23 s24 s31 s32 s33 s34 s41 s42 s43 s44
0.0 8.0679e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 8.0561e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 8.0561e+02 0.0000e+00 0.0000e+00 0.0000e+00 -0.0000e+00 8.0443e+02 
1.0 7.5249e+02 -2.1756e-02 0.0000e+00 0.0000e+00 -2.1756e-02 7.5131e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 7.5131e+02 -3.4270e-01 0.0000e+00 0.0000e+00 3.4270e-01 7.5013e+02 
2.0 6.6397e+02 -5.6102e-02 0.0000e+00 0.0000e+00 -5.6102e-02 6.6280e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 6.6279e+02 -1.2453e+00 0.0000e+00 0.0000e+00 1.2453e+00 6.6163e+02 
3.0 5.7915e+02 -8.2612e-02 0.0000e+00 0.0000e+00 -8.2612e-02 5.7800e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 5.7799e+02 -2.4323e+00 0.0000e+00 0.0000e+00 2.4323e+00 5.7686e+02 
4.0 5.0136e+02 -1.0076e-01 0.0000e+00 0.0000e+00 -1.0076e-01 5.0024e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 5.0020e+02 -3.6510e+00 0.0000e+00 0.0000e+00 3.6510e+00 4.9910e+02 
5.0 4.3186e+02 -1.1592e-01 0.0000e+00 0.0000e+00 -1.1592e-01 4.3076e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 4.3070e+02 -4.7408e+00 0.0000e+00 0.0000e+00 4.7408e+00 4.2964e+02 
6.0 3.7105e+02 -1.3520e-01 0.0000e+00 0.0000e+00 -1.3520e-01 3.6998e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.6987e+02 -5.6142e+00 0.0000e+00 0.0000e+00 5.6142e+00 3.6886e+02 
7.0 3.1874e+02 -1.6495e-01 0.0000e+00 0.0000e+00 -1.6495e-01 3.1770e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.1755e+02 -6.2348e+00 0.0000e+00 0.0000e+00 6.2348e+00 3.1658e+02 
8.0 2.7438e+02 -2.0882e-01 0.0000e+00 0.0000e+00 -2.0882e-01 2.7337e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.7316e+02 -6.6058e+00 0.0000e+00 0.0000e+00 6.6058e+00 2.7223e+02 
9.0 2.3713e+02 -2.6759e-01 0.0000e+00 0.0000e+00 -2.6759e-01 2.3615e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.3589e+02 -6.7563e+00 0.0000e+00 0.0000e+00 6.7563e+00 2.3500e+02 
10.0 2.0610e+02 -3.3980e-01 0.0000e+00 0.0000e+00 -3.3980e-01 2.0514e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.0482e+02 -6.7276e+00 0.0000e+00 0.0000e+00 6.7276e+00 2.0397e+02 
