1.5920 2.1348 0.5429 0.026952
theta s11 s12 s13 s14 s21 s22 s23 s24 s31 s32 s33 s34 s41 s42 s43 s44
0.0 1.9462e+03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.9437e+03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.9437e+03 0.0000e+00 0.0000e+00 0.0000e+00 -0.0000e+00 1.9412e+03 
1.0 1.6310e+03 -1.2960e-01 0.0000e+00 0.0000e+00 -1.2960e-01 1.6285e+03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.6285e+03 -6.9505e-01 0.0000e+00 0.0000e+00 6.9505e-01 1.6260e+03 
2.0 1.1614e+03 -3.0123e-01 0.0000e+00 0.0000e+00 -3.0123e-01 1.1589e+03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.1589e+03 -2.2236e+00 0.0000e+00 0.0000e+00 2.2236e+00 1.1564e+03 
3.0 8.4448e+02 -4.2025e-01 0.0000e+00 0.0000e+00 -4.2025e-01 8.4198e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 8.4194e+02 -3.6213e+00 0.0000e+00 0.0000e+00 3.6213e+00 8.3945e+02 
4.0 6.5180e+02 -5.3724e-01 0.0000e+00 0.0000e+00 -5.3724e-01 6.4932e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 6.4925e+02 -4.4931e+00 0.0000e+00 0.0000e+00 4.4931e+00 6.4680e+02 
5.0 5.3059e+02 -6.7557e-01 0.0000e+00 0.0000e+00 -6.7557e-01 5.2813e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 5.2803e+02 -4.9718e+00 0.0000e+00 0.0000e+00 4.9718e+00 5.2561e+02 
6.0 4.4938e+02 -8.4160e-01 0.0000e+00 0.0000e+00 -8.4160e-01 4.4695e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 4.4682e+02 -5.2238e+00 0.0000e+00 0.0000e+00 5.2238e+00 4.4444e+02 
7.0 3.9193e+02 -1.0389e+00 0.0000e+00 0.0000e+00 -1.0389e+00 3.8953e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.8936e+02 -5.3224e+00 0.0000e+00 0.0000e+00 5.3224e+00 3.8702e+02 
8.0 3.4959e+02 -1.2665e+00 0.0000e+00 0.0000e+00 -1.2665e+00 3.4721e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.4701e+02 -5.3218e+00 0.0000e+00 0.0000e+00 5.3218e+00 3.4471e+02 
9.0 3.1726e+02 -1.5212e+00 0.0000e+00 0.0000e+00 -1.5212e+00 3.1491e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.1467e+02 -5.2634e+00 0.0000e+00 0.0000e+00 5.2634e+00 3.1242e+02 
10.0 2.9180e+02 -1.7990e+00 0.0000e+00 0.0000e+00 -1.7990e+00 2.8947e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.8921e+02 -5.1727e+00 0.0000e+00 0.0000e+00 5.1727e+00 2.8699e+02 
11.0 2.7120e+02 -2.0960e+00 0.0000e+00 0.0000e+00 -2.0960e+00 2.6890e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.6861e+02 -5.0710e+00 0.0000e+00 0.0000e+00 5.0710e+00 2.6644e+02 
12.0 2.5410e+02 -2.4085e+00 0.0000e+00 0.0000e+00 -2.4085e+00 2.5182e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.5150e+02 -4.9734e+00 0.0000e+00 0.0000e+00 4.9734e+00 2.4937e+02 
13.0 2.3956e+02 -2.7346e+00 0.0000e+00 0.0000e+00 -2.7346e+00 2.3730e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.3695e+02 -4.8855e+00 0.0000e+00 0.0000e+00 4.8855e+00 2.3487e+02 
14.0 2.2693e+02 -3.0679e+00 0.0000e+00 0.0000e+00 -3.0679e+00 2.2469e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.2432e+02 -4.8197e+00 0.0000e+00 0.0000e+00 4.8197e+00 2.2228e+02 
15.0 2.1574e+02 -3.4103e+00 0.0000e+00 0.0000e+00 -3.4103e+00 2.1353e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.1313e+02 -4.7674e+00 0.0000e+00 0.0000e+00 4.7674e+00 2.1113e+02 
16.0 2.0568e+02 -3.7586e+00 0.0000e+00 0.0000e+00 -3.7586e+00 2.0349e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.0307e+02 -4.7304e+00 0.0000e+00 0.0000e+00 4.7304e+00 2.0111e+02 
