1.5115 1.8398 0.3283 0.065860
theta s11 s12 s13 s14 s21 s22 s23 s24 s31 s32 s33 s34 s41 s42 s43 s44
0.0 1.4169e+03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.4157e+03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.4157e+03 0.0000e+00 0.0000e+00 0.0000e+00 -0.0000e+00 1.4146e+03 
1.0 1.2093e+03 -7.8528e-02 0.0000e+00 0.0000e+00 -7.8528e-02 1.2081e+03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.2081e+03 -5.4990e-01 0.0000e+00 0.0000e+00 5.4990e-01 1.2069e+03 
2.0 8.6919e+02 -1.6516e-01 0.0000e+00 0.0000e+00 -1.6516e-01 8.6802e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 8.6801e+02 -1.7875e+00 0.0000e+00 0.0000e+00 1.7875e+00 8.6685e+02 
3.0 6.2185e+02 -1.8706e-01 0.0000e+00 0.0000e+00 -1.8706e-01 6.2070e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 6.2067e+02 -2.9741e+00 0.0000e+00 0.0000e+00 2.9741e+00 6.1953e+02 
4.0 4.6800e+02 -1.9028e-01 0.0000e+00 0.0000e+00 -1.9028e-01 4.6687e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 4.6681e+02 -3.7687e+00 0.0000e+00 0.0000e+00 3.7687e+00 4.6570e+02 
5.0 3.7115e+02 -1.9904e-01 0.0000e+00 0.0000e+00 -1.9904e-01 3.7004e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.6995e+02 -4.2537e+00 0.0000e+00 0.0000e+00 4.2537e+00 3.6888e+02 
6.0 3.0604e+02 -2.1669e-01 0.0000e+00 0.0000e+00 -2.1669e-01 3.0495e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.0484e+02 -4.5714e+00 0.0000e+00 0.0000e+00 4.5714e+00 3.0380e+02 
7.0 2.5911e+02 -2.4436e-01 0.0000e+00 0.0000e+00 -2.4436e-01 2.5805e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.5790e+02 -4.7792e+00 0.0000e+00 0.0000e+00 4.7792e+00 2.5690e+02 
8.0 2.2343e+02 -2.8279e-01 0.0000e+00 0.0000e+00 -2.8279e-01 2.2239e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.2220e+02 -4.8962e+00 0.0000e+00 0.0000e+00 4.8962e+00 2.2124e+02 
9.0 1.9527e+02 -3.3165e-01 0.0000e+00 0.0000e+00 -3.3165e-01 1.9425e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.9403e+02 -4.9340e+00 0.0000e+00 0.0000e+00 4.9340e+00 1.9310e+02 
10.0 1.7249e+02 -3.8970e-01 0.0000e+00 0.0000e+00 -3.8970e-01 1.7148e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.7123e+02 -4.9020e+00 0.0000e+00 0.0000e+00 4.9020e+00 1.7033e+02 
11.0 1.5374e+02 -4.5520e-01 0.0000e+00 0.0000e+00 -4.5520e-01 1.5274e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.5246e+02 -4.8129e+00 0.0000e+00 0.0000e+00 4.8129e+00 1.5160e+02 
12.0 1.3811e+02 -5.2664e-01 0.0000e+00 0.0000e+00 -5.2664e-01 1.3713e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.3681e+02 -4.6814e+00 0.0000e+00 0.0000e+00 4.6814e+00 1.3599e+02 
13.0 1.2497e+02 -6.0330e-01 0.0000e+00 0.0000e+00 -6.0330e-01 1.2400e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.2365e+02 -4.5197e+00 0.0000e+00 0.0000e+00 4.5197e+00 1.2286e+02 
14.0 1.1380e+02 -6.8148e-01 0.0000e+00 0.0000e+00 -6.8148e-01 1.1285e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.1247e+02 -4.3429e+00 0.0000e+00 0.0000e+00 4.3429e+00 1.1170e+02 
15.0 1.0425e+02 -7.6286e-01 0.0000e+00 0.0000e+00 -7.6286e-01 1.0330e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.0289e+02 -4.1529e+00 0.0000e+00 0.0000e+00 4.1529e+00 1.0216e+02 
16.0 9.5999e+01 -8.4614e-01 0.0000e+00 0.0000e+00 -8.4614e-01 9.5068e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 9.4629e+01 -3.9566e+00 0.0000e+00 0.0000e+00 3.9566e+00 9.3921e+01 
17.0 8.8837e+01 -9.3090e-01 0.0000e+00 0.0000e+00 -9.3090e-01 8.7915e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 8.7452e+01 -3.7596e+00 0.0000e+00 0.0000e+00 3.7596e+00 8.6770e+01 
18.0 8.2574e+01 -1.0168e+00 0.0000e+00 0.0000e+00 -1.0168e+00 8.1661e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 8.1175e+01 -3.5663e+00 0.0000e+00 0.0000e+00 3.5663e+00 8.0518e+01 
19.0 7.7059e+01 -1.1035e+00 0.0000e+00 0.0000e+00 -1.1035e+00 7.6155e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 7.5934e+01 -3.3792e+00 0.0000e+00 0.0000e+00 3.3792e+00 7.5307e+01 
