1.1820 1.3661 0.1841 0.164535
theta s11 s12 s13 s14 s21 s22 s23 s24 s31 s32 s33 s34 s41 s42 s43 s44
0.0 7.8490e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 7.8455e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 7.8455e+02 0.0000e+00 0.0000e+00 0.0000e+00 -0.0000e+00 7.8419e+02 
1.0 7.3065e+02 -1.2889e-02 0.0000e+00 0.0000e+00 -1.2889e-02 7.3030e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 7.3030e+02 -3.4052e-01 0.0000e+00 0.0000e+00 3.4052e-01 7.2994e+02 
2.0 6.2051e+02 -2.0722e-02 0.0000e+00 0.0000e+00 -2.0722e-02 6.2016e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 6.2016e+02 -1.2005e+00 0.0000e+00 0.0000e+00 1.2005e+00 6.1982e+02 
3.0 5.0415e+02 1.3980e-03 0.0000e+00 0.0000e+00 1.3980e-03 5.0382e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 5.0381e+02 -2.2334e+00 0.0000e+00 0.0000e+00 2.2334e+00 5.0348e+02 
4.0 4.0034e+02 4.5977e-02 0.0000e+00 0.0000e+00 4.5977e-02 4.0002e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.9998e+02 -3.1448e+00 0.0000e+00 0.0000e+00 3.1448e+00 3.9968e+02 
5.0 3.1484e+02 9.3590e-02 0.0000e+00 0.0000e+00 9.3590e-02 3.1453e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.1447e+02 -3.7892e+00 0.0000e+00 0.0000e+00 3.7892e+00 3.1420e+02 
6.0 2.4745e+02 1.2689e-01 0.0000e+00 0.0000e+00 1.2689e-01 2.4716e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.4707e+02 -4.1348e+00 0.0000e+00 0.0000e+00 4.1348e+00 2.4681e+02 
7.0 1.9567e+02 1.3648e-01 0.0000e+00 0.0000e+00 1.3648e-01 1.9540e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.9528e+02 -4.2133e+00 0.0000e+00 0.0000e+00 4.2133e+00 1.9504e+02 
8.0 1.5647e+02 1.2186e-01 0.0000e+00 0.0000e+00 1.2186e-01 1.5621e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.5605e+02 -4.0879e+00 0.0000e+00 0.0000e+00 4.0879e+00 1.5584e+02 
9.0 1.2696e+02 8.8652e-02 0.0000e+00 0.0000e+00 8.8652e-02 1.2671e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.2653e+02 -3.8286e+00 0.0000e+00 0.0000e+00 3.8286e+00 1.2634e+02 
10.0 1.0474e+02 4.4949e-02 0.0000e+00 0.0000e+00 4.4949e-02 1.0450e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.0430e+02 -3.4973e+00 0.0000e+00 0.0000e+00 3.4973e+00 1.0412e+02 
11.0 8.7895e+01 -1.5724e-03 0.0000e+00 0.0000e+00 -1.5724e-03 8.7661e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 8.7441e+01 -3.1412e+00 0.0000e+00 0.0000e+00 3.1412e+00 8.7277e+01 
12.0 7.4970e+01 -4.5280e-02 0.0000e+00 0.0000e+00 -4.5280e-02 7.4742e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 7.4509e+01 -2.7926e+00 0.0000e+00 0.0000e+00 2.7926e+00 7.4358e+01 
13.0 6.4905e+01 -8.3533e-02 0.0000e+00 0.0000e+00 -8.3533e-02 6.4681e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 6.4440e+01 -2.4683e+00 0.0000e+00 0.0000e+00 2.4683e+00 6.4301e+01 
14.0 5.6945e+01 -1.1325e-01 0.0000e+00 0.0000e+00 -1.1325e-01 5.6724e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 5.6477e+01 -2.1827e+00 0.0000e+00 0.0000e+00 2.1827e+00 5.6349e+01 
15.0 5.0536e+01 -1.3621e-01 0.0000e+00 0.0000e+00 -1.3621e-01 5.0318e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 5.0068e+01 -1.9318e+00 0.0000e+00 0.0000e+00 1.9318e+00 4.9951e+01 
