1.5765 1.8026 0.2260 0.031784
theta s11 s12 s13 s14 s21 s22 s23 s24 s31 s32 s33 s34 s41 s42 s43 s44
0.0 2.4086e+03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.4064e+03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.4064e+03 0.0000e+00 0.0000e+00 0.0000e+00 -0.0000e+00 2.4042e+03 
1.0 2.1424e+03 -9.8085e-02 0.0000e+00 0.0000e+00 -9.8085e-02 2.1402e+03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.1402e+03 -9.8688e-01 0.0000e+00 0.0000e+00 9.8688e-01 2.1380e+03 
2.0 1.6838e+03 -2.1458e-01 0.0000e+00 0.0000e+00 -2.1458e-01 1.6816e+03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.6816e+03 -3.3565e+00 0.0000e+00 0.0000e+00 3.3565e+00 1.6795e+03 
3.0 1.2973e+03 -2.4588e-01 0.0000e+00 0.0000e+00 -2.4588e-01 1.2952e+03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.2952e+03 -5.9497e+00 0.0000e+00 0.0000e+00 5.9497e+00 1.2931e+03 
4.0 1.0109e+03 -2.3876e-01 0.0000e+00 0.0000e+00 -2.3876e-01 1.0088e+03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.0087e+03 -8.0066e+00 0.0000e+00 0.0000e+00 8.0066e+00 1.0067e+03 
5.0 8.0311e+02 -2.3889e-01 0.0000e+00 0.0000e+00 -2.3889e-01 8.0109e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 8.0091e+02 -9.3693e+00 0.0000e+00 0.0000e+00 9.3693e+00 7.9896e+02 
6.0 6.5118e+02 -2.6774e-01 0.0000e+00 0.0000e+00 -2.6774e-01 6.4921e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 6.4896e+02 -1.0134e+01 0.0000e+00 0.0000e+00 1.0134e+01 6.4708e+02 
7.0 5.3825e+02 -3.3550e-01 0.0000e+00 0.0000e+00 -3.3550e-01 5.3633e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 5.3600e+02 -1.0425e+01 0.0000e+00 0.0000e+00 1.0425e+01 5.3419e+02 
8.0 4.5292e+02 -4.4341e-01 0.0000e+00 0.0000e+00 -4.4341e-01 4.5103e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 4.5062e+02 -1.0363e+01 0.0000e+00 0.0000e+00 1.0363e+01 4.4889e+02 
9.0 3.8742e+02 -5.8505e-01 0.0000e+00 0.0000e+00 -5.8505e-01 3.8556e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.8509e+02 -1.0058e+01 0.0000e+00 0.0000e+00 1.0058e+01 3.8342e+02 
