2.1179 2.1309 0.0130 0.045261
theta s11 s12 s13 s14 s21 s22 s23 s24 s31 s32 s33 s34 s41 s42 s43 s44
0.0 9.0693e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 9.0513e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 9.0513e+02 0.0000e+00 0.0000e+00 0.0000e+00 -0.0000e+00 9.0332e+02 
1.0 8.7088e+02 3.1563e-03 0.0000e+00 0.0000e+00 3.1563e-03 8.6908e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 8.6908e+02 -3.3977e-01 0.0000e+00 0.0000e+00 3.3977e-01 8.6728e+02 
2.0 8.0932e+02 2.5365e-02 0.0000e+00 0.0000e+00 2.5365e-02 8.0754e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 8.0754e+02 -1.2758e+00 0.0000e+00 0.0000e+00 1.2758e+00 8.0579e+02 
3.0 7.3725e+02 7.2769e-02 0.0000e+00 0.0000e+00 7.2769e-02 7.3550e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 7.3549e+02 -2.6014e+00 0.0000e+00 0.0000e+00 2.6014e+00 7.3380e+02 
4.0 6.5940e+02 1.4192e-01 0.0000e+00 0.0000e+00 1.4192e-01 6.5769e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 6.5765e+02 -4.0732e+00 0.0000e+00 0.0000e+00 4.0732e+00 6.5604e+02 
5.0 5.8182e+02 2.2145e-01 0.0000e+00 0.0000e+00 2.2145e-01 5.8015e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 5.8007e+02 -5.4776e+00 0.0000e+00 0.0000e+00 5.4776e+00 5.7855e+02 
6.0 5.0877e+02 2.9664e-01 0.0000e+00 0.0000e+00 2.9664e-01 5.0714e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 5.0700e+02 -6.6622e+00 0.0000e+00 0.0000e+00 6.6622e+00 5.0558e+02 
7.0 4.4272e+02 3.5442e-01 0.0000e+00 0.0000e+00 3.5442e-01 4.4113e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 4.4092e+02 -7.5443e+00 0.0000e+00 0.0000e+00 7.5443e+00 4.3958e+02 
8.0 3.8472e+02 3.8620e-01 0.0000e+00 0.0000e+00 3.8620e-01 3.8316e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.8288e+02 -8.1033e+00 0.0000e+00 0.0000e+00 8.1033e+00 3.8162e+02 
9.0 3.3485e+02 3.8814e-01 0.0000e+00 0.0000e+00 3.8814e-01 3.3332e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.3295e+02 -8.3623e+00 0.0000e+00 0.0000e+00 8.3623e+00 3.3177e+02 
10.0 2.9259e+02 3.6038e-01 0.0000e+00 0.0000e+00 3.6038e-01 2.9107e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.9063e+02 -8.3690e+00 0.0000e+00 0.0000e+00 8.3690e+00 2.8952e+02 
11.0 2.5711e+02 3.0529e-01 0.0000e+00 0.0000e+00 3.0529e-01 2.5560e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.5508e+02 -8.1805e+00 0.0000e+00 0.0000e+00 8.1805e+00 2.5403e+02 
